Configuration,Method,Training,Inference,PU_Processing,Fast-mRMR_Processing
GO (Individual),Fast-mRMR,0.18,0.01,0,3.61
PathDIP (Individual),Original,0.63,0.02,0,0
PathDIP (Individual),PU Learning,0.65,0.02,0.2,0
GO+PathDIP (Combined),Fast-mRMR,0.19,0.01,0,4.037
