fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.34163887969615525;0.5117360436979068;0.7162080399061033;0.3927984317197659;0.4109722222222222;0.4719719103172693;0.333
10%;0.36042610657316543;0.5201649381191721;0.7365595517549742;0.4008440090590993;0.42333333333333334;0.48833426097475857;0.34299999999999997
20%;0.3569700747309107;0.5181692825102264;0.7481327688352337;0.4064443056474909;0.42680555555555555;0.49509905204783167;0.346
40%;0.36370694029053163;0.5205019982612186;0.7493926615247037;0.404658731887626;0.41680555555555554;0.48814358642780553;0.33799999999999997
100%;0.35150137281019633;0.5110504452198963;0.7448019925106192;0.4098343554333854;0.42416666666666664;0.49987292986068843;0.344
