fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.4444303990722259;0.7588441384026224;0.8259162166216623;0.46109747324203704;0.4425;0.5393498014247873;0.5040000000000001
5%;0.449798953008003;0.7658125438084161;0.8330775577557757;0.47884217552696323;0.4533333333333333;0.55431612556414;0.516
10%;0.4104049148296161;0.7578185931873025;0.8314326432643264;0.47302218020710446;0.4377272727272727;0.5417814660622838;0.49799999999999994
20%;0.3803102452412749;0.7528473500815095;0.8345109510951095;0.45604133003210834;0.43977272727272726;0.5240625380506911;0.5
40%;0.3760196275133291;0.7559705001714241;0.8422937293729372;0.45459587071240515;0.4465909090909091;0.5272692227448615;0.5079999999999999
100%;0.3889;0.7628;0.8346;0.4287;0.4219;0.4906;0.48
