fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.4618565597053931;0.7435286174013418;0.7975260639308445;0.5170991446814339;0.4827272727272727;0.5428093819734208;0.531
10%;0.4508851165697232;0.7590482038302893;0.8141357343022703;0.5232328935078228;0.4890909090909091;0.5650746650951224;0.538
20%;0.44288084386785975;0.7654356579179158;0.826760235584687;0.5152781139532708;0.4909090909090909;0.5627769723488301;0.5399999999999999
40%;0.43944307743750777;0.7717911178061775;0.8320281181723187;0.5103833723002071;0.4909090909090909;0.5632367827791949;0.5399999999999999
100%;0.4608019589925563;0.7678234002769988;0.8266626294290871;0.548764944765759;0.519090909090909;0.6205045808980955;0.571
