fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.5138621686602896;0.7288391928659987;0.8422209720972097;0.5243356098503626;0.48515151515151517;0.6090111373318058;0.552
5%;0.5320903718603157;0.7376059855497255;0.8524774977497751;0.5326693311517211;0.48893939393939395;0.6096560344939103;0.556
10%;0.5258663235461147;0.7276776405942575;0.8431360636063607;0.5129252892553662;0.4832575757575757;0.5995817790446535;0.55
20%;0.5210101452409306;0.7144181264358286;0.8350206270627062;0.505705809589782;0.4843181818181817;0.6016462664654763;0.5509999999999999
40%;0.516257560902827;0.7104340530688623;0.8395870837083708;0.5024119867428298;0.474621212121212;0.5902136358439044;0.5399999999999999
100%;0.4951;0.6841;0.8378;0.4983;0.4605;0.5809;0.524
