fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.4238473589849308;0.737138380467905;0.8081502067963335;0.5107552701751155;0.5604166666666667;0.5900587289732726;0.45400000000000007
10%;0.44283005601684644;0.7696694611114822;0.8346717108204784;0.5386009923739916;0.5923611111111111;0.6144920816126958;0.48
15%;0.45093921383095437;0.7813898566887649;0.835393192488263;0.5304232892938099;0.578888888888889;0.6074723345881339;0.469
20%;0.44812487808209645;0.7780324516079418;0.8304630980326404;0.5212732064409978;0.5759722222222222;0.6036439442275837;0.46699999999999997
40%;0.4398794244690502;0.7737890616424145;0.8221626564945227;0.5084717131603715;0.56625;0.5905967271202128;0.45899999999999996
60%;0.42485202836849423;0.7635633543534599;0.8129634194053208;0.4929272167434591;0.5611111111111111;0.5820044949065675;0.45500000000000007
100%;0.4362013053257542;0.7573667769138509;0.8164531773977197;0.5112563710608027;0.5744444444444443;0.6035472946288675;0.466
