fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.19444480832230873;0.5129898939489892;0.5263395543243177;0.18202284427668128;0.12590909090909091;0.13468958909784828;0.136
10%;0.19929161105088622;0.5208523691867472;0.5342929576437997;0.14613145496838148;0.13427272727272727;0.14289280917940145;0.14500000000000002
20%;0.2040431091245254;0.5270620571595328;0.5475576656703361;0.1524979935241652;0.14863636363636362;0.1529965964538684;0.15999999999999998
40%;0.19851389589904891;0.516230989514736;0.5417763116327672;0.1394002531876581;0.13036363636363635;0.12251475422769635;0.14100000000000001
60%;0.1991029966963599;0.5163093409855375;0.5426442856795703;0.14209143120173837;0.12427272727272727;0.12327236079759282;0.134
100%;0.1998744660999555;0.517203824454212;0.5377149765497802;0.14760367607189104;0.1251818181818182;0.13232017776204513;0.135
