fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
1.25%;0.49786713487128076;0.7163222925268137;0.8344279845741113;0.5012424211597131;0.5615277777777777;0.5874004035372706;0.454
2.5%;0.5434666346949293;0.7468024323120447;0.8655732869438856;0.5260405554274679;0.6131944444444445;0.6157112886289939;0.496
5%;0.5402700351883352;0.7395074681658796;0.8645259054325954;0.5169401538086861;0.6154166666666666;0.6089315028130542;0.49799999999999994
10%;0.5419622911488237;0.7331285292104185;0.8549948720098367;0.5146086479889906;0.6056944444444443;0.604520408983435;0.48999999999999994
20%;0.5445353887867416;0.7310676930964899;0.8545129946344735;0.5134084262532179;0.6056944444444443;0.6051759037256428;0.48999999999999994
40%;0.5220936465465406;0.7188618594986554;0.8451504024144869;0.49843758153771833;0.5880555555555556;0.5897600298777222;0.476
100%;0.516061177642447;0.6963756748735459;0.8371535742231165;0.49573481656797497;0.5811111111111111;0.5883110203609896;0.47000000000000003
