fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.4661757715652895;0.7389055751403195;0.8053455019319091;0.5441916240358811;0.5036363636363637;0.605037000319786;0.5439999999999999
10%;0.4609635729058318;0.7574337036082821;0.8193261585380671;0.564706811099619;0.5228181818181817;0.6294446540981651;0.5639999999999998
20%;0.4519127684694414;0.7662761735884832;0.8365549986634591;0.5547465867370744;0.5166363636363636;0.6119506557193721;0.5579999999999998
40%;0.4534535879202318;0.7765539611128048;0.8395086328400282;0.5449372124016428;0.5114545454545454;0.6001697226560656;0.552
60%;0.4536017977239183;0.7692755601186855;0.8310333709994897;0.5267399222105419;0.5048181818181818;0.5867769375229742;0.5450000000000002
100%;0.4646545657673948;0.7608350534696992;0.8250535770698161;0.5529510258338366;0.5279090909090909;0.6241192427822717;0.5700000000000001
