fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.42886826775086623;0.7538247002961681;0.8229429192919293;0.4317585925285031;0.4256060606060606;0.48927878351288323;0.485
5%;0.43668828743400223;0.7641464821656213;0.8307088208820883;0.45375286353083466;0.4463636363636363;0.5198200501700315;0.508
10%;0.39987416382011504;0.7557139884752206;0.8279417941794179;0.44586812979941587;0.4284090909090909;0.5073680824957868;0.494
20%;0.3648535076865769;0.7451501290780823;0.8300105010501049;0.4226624721375442;0.4247727272727272;0.4851181855735519;0.483
100%;0.3800276947296843;0.7617122435487429;0.8287267476747676;0.38853172223968246;0.39325757575757575;0.43289000245408565;0.44699999999999995
