fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.4719756186485589;0.7442359512938783;0.8023895637408568;0.5412400696607659;0.496;0.6004772215692609;0.5399999999999999
10%;0.46079154114115173;0.756643130166314;0.8176043507172034;0.5680334960634503;0.518;0.6344293645858278;0.564
15%;0.4583679297575813;0.7661354364037487;0.8291934549254298;0.5694177312731785;0.5214545454545455;0.6319146809433563;0.568
20%;0.45636497833151324;0.7701388792564525;0.8327413377505464;0.5637149645167132;0.5234545454545454;0.6268318372448445;0.5700000000000001
40%;0.45958799466893085;0.7809555637343649;0.8354160967037142;0.5538249642122239;0.5223636363636364;0.6169243201804556;0.569
60%;0.4493931071413232;0.766042908326087;0.8283042533485323;0.5348930862911463;0.505090909090909;0.5966612859847902;0.55
100%;0.46481612394424554;0.7612583507072321;0.823471121877078;0.5520282233375794;0.5203636363636364;0.6213642912092805;0.567
