fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.17320346909895162;0.4960226537365145;0.5280362794612794;0.1253684156384844;0.09386363636363636;0.10476682569952551;0.10700000000000001
10%;0.16308513314586673;0.38435941102274024;0.5554775673400674;0.14753472041421373;0.13606060606060608;0.15837448736578139;0.155
15%;0.1335170057678551;0.29344002433161953;0.5611709175084175;0.14529635093006213;0.12;0.14533937571782293;0.13699999999999996
20%;0.11965943891164647;0.2730541065298394;0.5522414562289562;0.1407007578568958;0.1218939393939394;0.13801478917751903;0.13999999999999999
40%;0.08475243858458287;0.19328478749855263;0.5354555134680135;0.12845518446955997;0.10484848484848483;0.11630055293556596;0.12000000000000002
60%;0.08334175133432101;0.18171529822551555;0.5340992003367002;0.13180739454479792;0.11045454545454544;0.1252748556803835;0.127
80%;0.058929882608978044;0.13177631628050973;0.5243239478114479;0.12392986616348947;0.09462121212121213;0.10414393218270161;0.10800000000000001
100%;0.06741080181465833;0.14510045933123875;0.5234488636363637;0.1260293930476439;0.11810606060606059;0.12501546049509452;0.13500000000000004
