fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.3502623764488753;0.547210231674204;0.6967438799463447;0.36722022945250105;0.4195833333333333;0.4571946353903763;0.33999999999999997
5%;0.34211287868590334;0.5260821278937532;0.7224090934495864;0.38345826270381955;0.4219444444444444;0.4684672407306484;0.34199999999999997
10%;0.33828445645005745;0.5479838930810921;0.7475356863402639;0.3498823890307104;0.3925;0.4224533749117561;0.31799999999999995
20%;0.33778905160298567;0.5983935068989281;0.7411682176391683;0.33596065492141836;0.37375;0.40762109962069487;0.303
40%;0.22382018570959766;0.4940349838114727;0.7041951849988821;0.30647879084103813;0.3305555555555556;0.37362322280226157;0.26800000000000007
100%;0.2936462762123868;0.5707117570409208;0.6984782304940755;0.26575692526692873;0.3318055555555556;0.3360214846006933;0.269
