fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.4920586002035664;0.7768437694915115;0.8446932273820806;0.5119877774949143;0.48009090909090907;0.5587982861170475;0.518
5%;0.5145760479337682;0.7893532471269965;0.8612079232582441;0.5296692154220215;0.48909090909090913;0.575770134630103;0.5280000000000001
10%;0.4682516177108457;0.7798613474887985;0.8429006585502176;0.5091141930445179;0.47245454545454546;0.5585621071524557;0.51
20%;0.42565826437459825;0.7681798842964002;0.8356968481932396;0.49313914001744424;0.4719090909090909;0.5448722258835984;0.509
40%;0.420058683202022;0.7715346443180573;0.8418503195548105;0.48605527129670734;0.4758181818181818;0.5380970642760768;0.514
100%;0.4140841393319509;0.768180179042529;0.8387871497654977;0.46143063605628987;0.4584545454545455;0.5132082106097255;0.4950000000000001
