fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.5445058730336602;0.739070543565432;0.8582595441180043;0.5919466581674528;0.512;0.6411300328021177;0.5530000000000002
5%;0.5794537829945374;0.7606256190554239;0.8845520643483755;0.6301333179017778;0.5481818181818182;0.668924526298141;0.5919999999999999
10%;0.5746637194258879;0.7467803098590686;0.881494155670579;0.6222456223265898;0.5471818181818182;0.6650692284329583;0.591
20%;0.5632024613404318;0.7393083921086924;0.8786333746446017;0.6183504870343165;0.5390909090909092;0.6609080627842503;0.5820000000000001
40%;0.5671917280641854;0.7434253393248904;0.8784071833005275;0.6097865641339395;0.5360909090909091;0.6531119899723291;0.5790000000000001
100%;0.5639935640891063;0.7312418606778335;0.8736002648781318;0.6077449749057897;0.5304545454545455;0.6488707999193104;0.5730000000000001
