fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.49468666280762674;0.780283776946772;0.8437855945177517;0.5374600549834303;0.4992727272727273;0.5922658019286204;0.5389999999999999
5%;0.540265333458562;0.808970374358141;0.8719821997035309;0.5775070407517207;0.5279090909090909;0.6211743647446217;0.5700000000000001
10%;0.5040209009226003;0.802376345674419;0.8690794998906466;0.5838696676265027;0.5279090909090909;0.6285745698981002;0.5700000000000001
20%;0.46466351092273916;0.7908211536499263;0.8621806274452626;0.5777993663433854;0.5286363636363636;0.6307782623237486;0.571
40%;0.46338126845600974;0.7923797486552081;0.8638260917110155;0.5802913253057695;0.5331818181818181;0.6377988127256058;0.5759999999999998
100%;0.45811907442529093;0.7909359784817098;0.8587575150057107;0.5377901141673858;0.5028181818181819;0.5830012190996113;0.543
