fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
1.25%;.44415243323259795;0.7556357358361883;0.8100978370221327;0.425457331896055;0.5122222222222222;0.5133672809197916;0.41400000000000003
2.5%;0.46933741624270364;0.77852830520892;0.8395013274088979;0.4717685243060138;0.5726388888888888;0.5634333019714377;0.46299999999999997
5%;0.45669467207976827;0.7677677274933837;0.8316887575452718;0.4457595105343537;0.5676388888888889;0.5418142064947319;0.45899999999999996
10%;0.41563608543142194;0.7571798098675017;0.8176653672032195;0.444395870035353;0.5697222222222221;0.5483865649434586;0.461
20%;0.39389274076179126;0.7469907970576805;0.816637785043595;0.4444187125045727;0.5726388888888889;0.5485721676899564;0.46299999999999997
40%;0.3765257083004484;0.7413803115668272;0.8156225687458083;0.43389560041064634;0.5598611111111111;0.5350126070962566;0.453
100%;0.3697361273677172;0.739270788953948;0.8122854208584842;0.4017908529778646;0.5273611111111111;0.4930398502435014;0.42700000000000005
