fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.18757656971700812;0.4998436613236943;0.5335968263225681;0.14695442405199272;0.1201818181818182;0.13859084942690936;0.13
10%;0.1636805304315816;0.3765806233395446;0.5240074481786591;0.15456507669833794;0.1479090909090909;0.16062911066978428;0.16
20%;0.14050182326236305;0.29603520452812293;0.5323824208403198;0.15137463210502328;0.14218181818181821;0.15269028806935714;0.15299999999999997
40%;0.08723017843047456;0.19175557567501614;0.5099515443124104;0.1334522090325457;0.12027272727272727;0.1229186650392557;0.13
60%;0.09445877479933207;0.1869542798343033;0.5151780758669291;0.13854353075157233;0.12545454545454543;0.13223794633921035;0.13499999999999998
100%;0.0954041391185354;0.18173267745596916;0.5252092537240893;0.14869336624187254;0.14018181818181819;0.15128895836486628;0.151
