fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.5007140086823397;0.7193399548684108;0.8074451944998577;0.5532595146281831;0.5032727272727271;0.6257751344473033;0.5479999999999998
10%;0.5260669661766474;0.7330952696445991;0.8172575163864348;0.5699692366413386;0.5167272727272727;0.6420743078350748;0.563
20%;0.525374383656932;0.7347069426029351;0.8246909079034863;0.575867262253727;0.5186363636363637;0.6454748068910536;0.565
25%;0.524530627133226;0.7355729784412932;0.8243909589626675;0.5781026334585382;0.5104545454545454;0.6420442075048574;0.5559999999999999
30%;0.5240623744298468;0.7352588637089668;0.8243167628479148;0.5713400180666618;0.5184545454545455;0.6431809328068316;0.565
40%;0.5245636585831275;0.7326777766699581;0.8274830139165955;0.5776220059486843;0.5121818181818181;0.6426174124129937;0.5579999999999999
60%;0.5100271264760614;0.7183868977349401;0.8275164636173649;0.5659060587403163;0.4992727272727272;0.6286150919839617;0.544
100%;0.5112459674408562;0.7127108935071889;0.8253951505652134;0.5666239887919945;0.4985454545454545;0.6296278963443747;0.5429999999999999
