fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.4674509131096463;0.7661899639030156;0.8313079877932935;0.4989773840359196;0.458090909090909;0.5489384535152012;0.5
5%;0.4853423629407775;0.7773543326148488;0.840610560938539;0.5126255274477043;0.475;0.5705005792629689;0.518
10%;0.4432250068217522;0.7640900952123214;0.8354963842975207;0.5064536550377369;0.47327272727272723;0.5646676329016873;0.516
20%;0.41791699582175035;0.7589945128434616;0.8265718984516006;0.4857152300745812;0.4653636363636363;0.5437571823856;0.508
40%;0.4169795108205038;0.7630923933374929;0.8334855193787403;0.4771914660584393;0.46945454545454546;0.5374945221293208;0.5119999999999999
100%;0.4065652166267471;0.7609490223022364;0.8342593093948892;0.45117279405676375;0.44727272727272727;0.5066925361013821;0.488
