fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.4885417471379189;0.7353148128574051;0.8043897240429372;0.5067371637150796;0.47818181818181815;0.580823396217415;0.5259999999999999
10%;0.501193019876901;0.7493167726149814;0.8220350052246603;0.518763909212843;0.4963636363636364;0.5938159525072793;0.5459999999999999
20%;0.5192112239650785;0.7678746181958552;0.8340375344352615;0.5322869864373531;0.4999999999999999;0.600200932311852;0.55
40%;0.5248519919830161;0.7678912856043946;0.830088047401919;0.5164808906566101;0.5018181818181817;0.5893929283721713;0.5519999999999999
100%;0.5305044159991937;0.7494334711708193;0.8292239598176119;0.5261466736853263;0.5036363636363637;0.5978720540674194;0.554
