fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.508119116316745;0.7216099400495779;0.8155864073777066;0.5684508047374938;0.5064545454545455;0.6347644565757016;0.5469999999999999
10%;0.5294203016816202;0.7380477655336222;0.8253980522952056;0.5823430770219253;0.5281818181818181;0.649657896959148;0.57
20%;0.5224964454088443;0.733165604596744;0.8358014689800978;0.5889186106087998;0.514090909090909;0.643117523601796;0.5549999999999999
40%;0.5193249532134867;0.7306847432050365;0.8354842591917573;0.5798016742362085;0.5105454545454545;0.6359988730262705;0.551
60%;0.5094321448430476;0.7183848524526832;0.8376467400549197;0.5839067834029209;0.5111818181818182;0.6375680643778948;0.552
100%;0.5017107177730428;0.7028526475266423;0.8340213846565089;0.5751640398155112;0.49327272727272725;0.6260156208204651;0.5329999999999999
