fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
5%;0.5020029052930586;0.715691761094672;0.8099095824949696;0.5321073658421697;0.5526388888888889;0.6129663060195762;0.44799999999999995
10%;0.5184854094791704;0.7416111744198529;0.8371423401520233;0.5675740589709315;0.5894444444444444;0.6458712436231805;0.4779999999999999
15%;0.5072599298227983;0.7330980573437083;0.8354458417169685;0.5575945400368518;0.5681944444444444;0.6293756938141775;0.46099999999999997
20%;0.5050682971000174;0.7268941023385043;0.8304943270735524;0.5441758980365272;0.5733333333333334;0.6266588009391096;0.465
40%;0.5029588181071556;0.7238411467385469;0.8355004052090319;0.5445240799175904;0.5695833333333333;0.6230367301678501;0.462
60%;0.5007160625527836;0.7127648161554946;0.8276730801475519;0.5390005247233887;0.5619444444444444;0.6174497728639571;0.45599999999999996
100%;0.49910726660231963;0.7024723762799608;0.8312996730382294;0.5348856428235795;0.5618055555555556;0.6138478068891292;0.45600000000000007
