fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.5301319204868402;0.7327603615228091;0.8532456744672061;0.5445391394707115;0.5068181818181817;0.5985196432319109;0.5469999999999999
5%;0.5446519011086337;0.7331416450822538;0.8723774817136887;0.5742044778239963;0.5244545454545454;0.621042280182152;0.566
10%;0.5443382337856069;0.7261161649719948;0.8657069269276567;0.5609510205106161;0.5197272727272728;0.6125515791287488;0.561
20%;0.5384369194178118;0.7212999984171915;0.8621320320283832;0.537879819057778;0.5101818181818183;0.593086806383862;0.551
40%;0.5202326536299643;0.7073140013007186;0.8611083509513742;0.5256098391944547;0.5037272727272726;0.5824228284320723;0.5439999999999999
100%;0.51794520986036;0.696037125726536;0.8527359966950986;0.5271333128922835;0.4934545454545455;0.5835006797889609;0.533
