fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
1.25%;0.4858778124203812;0.6995779264272179;0.7908360703429278;0.5043206423781013;0.4617272727272727;0.5757851229925579;0.504
2.5%;0.5273433149529506;0.7276665893119983;0.8507243694784841;0.54503741213826;0.4923636363636363;0.5989819818964757;0.537
5%;0.5281416135487909;0.723606657969377;0.8579502351097179;0.550559999225011;0.5006363636363635;0.6033852044836644;0.546
10%;0.5332285183065955;0.7164734589610747;0.8512410765175265;0.5370584978410791;0.49318181818181817;0.5942489061375299;0.538
20%;0.5270243908388099;0.708992020120385;0.8408453203666761;0.5132895845246229;0.49936363636363623;0.5844175665074867;0.545
40%;0.5115725962750342;0.6941502809884506;0.8487822029068111;0.5123845786765668;0.49381818181818166;0.5798387806815956;0.539
100%;0.5030834142993653;0.6783705234257281;0.8437653415028024;0.5189433452888814;0.4829090909090909;0.5817382395001415;0.5269999999999999
