fast_mrmr_k;f1;gmean;auc_roc;auc_pr;recall_at_10;ndcg_at_10;precision_at_10
2.5%;0.5035195909480754;0.7490622734717072;0.8476575157515752;0.4770536216038991;0.4798484848484848;0.5558965105385213;0.546
5%;0.5224716551071723;0.7585820305449309;0.8601091359135914;0.4833066268850367;0.48583333333333323;0.5572594790960944;0.5529999999999999
10%;0.5115774232117932;0.7493459044022195;0.8480779327932794;0.4782567535315591;0.4709848484848485;0.5528601321000659;0.5359999999999999
20%;0.4873603590613417;0.7401276287510625;0.8381015601560156;0.4350729373334489;0.4621212121212121;0.5128520827213378;0.526
40%;0.48589015936281027;0.747180680787793;0.84123499849985;0.4388255086269949;0.46590909090909083;0.5165997907337125;0.53
100%;0.4962185552427024;0.7293832709564642;0.8389975247524752;0.4379803022702605;0.45962121212121215;0.5136968520135347;0.523
