Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
FXN,2,40.29810239,1.45E-08,0.000879752,0.0625,4746.25521,963.4752045,39,1783,80,-0.801932367,2,1,47374,2,2,0,0,NotCR
CDC14B,3,127.3966037,1.45E-08,0.022590331,0.066666667,5606.753594,1526.020233,585,6210,1176,-0.929715629,3,2,903604,2.829604131,3,0.333333333,0,NotCR
XPA,15,10411.6579,1.45E-08,0.018017602,0.066666667,5465.678352,1426.645599,672,5111,1554,-0.310574956,14,12,804007,11.29573171,11,0.152380952,0,NotCR
TXN,18,155929.3845,1.45E-08,0.042624588,0.066666667,6042.312787,1831.735413,1586,8847,3478,-0.135047026,14,9,2075588,14.62860808,11,0.052287582,0.111111111,CR
PAPPA,1,0,1.56E-09,6.92E-18,1,1,1.5,2,1,4,0,1,1,1,,1,0,0,NotCR
SURF1,8,558.0711943,1.45E-08,0.001854283,0.0625,4817.115455,1015.519699,189,2024,434,-0.300606027,7,6,135605,4.826815642,6,0.321428571,0,NotCR
DMD,12,20368.21405,1.45E-08,0.001954035,0.0625,5087.918296,1183.617188,166,3395,464,0.088702377,8,9,128046,9.298013245,6,0.166666667,0,NotCR
PARK7,38,194379.8872,1.45E-08,0.084741937,0.066666667,6294.83837,2009.666718,2450,10659,6306,0.096332991,23,29,3535227,24.30545152,17,0.082503556,0.078947368,NotCR
SDHB,13,10249.63244,1.45E-08,0.0090115,0.066666667,5507.958547,1463.311188,376,6064,908,-0.240786706,12,4,426127,10.74229692,10,0.064102564,0.076923077,NotCR
FABP3,2,174.3546481,1.45E-08,0.000638483,0.0625,4621.358923,890.3806305,55,1192,112,-0.736111111,2,1,43679,2,2,0,0,NotCR
HDAC1,287,3733027.927,1.45E-08,0.450526978,0.071428571,7047.52656,2515.576111,12294,12857,106670,0.781391524,60,266,18013043,86.36817954,18,0.03954582,0.006968641,CR
PRDX1,20,246783.4961,1.45E-08,0.056571005,0.066666667,6143.161669,1901.175781,1881,9562,4142,-0.277333469,16,19,2549491,14.37634409,13,0.121052632,0.2,CR
ELAVL4,2,286.4483895,1.45E-08,0.00726584,0.0625,5326.441682,1342.46666,278,4618,558,-0.965258391,2,1,344040,1.98540146,2,0,0,NotCR
PRKAA2,23,47933.09403,1.45E-08,0.0206335,0.066666667,5752.978935,1628.745911,897,7322,2300,0.029113984,15,14,1015082,18.83506344,12,0.09486166,0.043478261,CR
HOOK1,14,18002.65405,1.45E-08,0.011486553,0.0625,5460.746227,1437.334579,568,5472,1318,-0.190116835,12,6,581501,12.58974359,9,0.076923077,0,NotCR
JAK1,23,38405.47009,1.45E-08,0.030846255,0.066666667,5804.040967,1668.621124,1193,7596,2892,-0.011108268,15,19,1553811,17.20068611,13,0.110671937,0,NotCR
PRKACB,21,43338.64344,1.45E-08,0.016722485,0.066666667,5693.296775,1585.398895,776,6947,1972,-0.012342403,15,19,837910,16.00796813,10,0.20952381,0,NotCR
