Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
ATAD3A,11,28164.44722,1.45E-08,0.034635798,0.0625,5950.553988,1784.867371,1596,8508,3302,-0.747892424,11,5,1859309,9.288425047,10,0.127272727,0,NotCR
CHD5,9,0.637876365,1.45E-08,0.025872621,0.066666667,5357.240029,1352.300751,761,4548,1594,-0.668062223,9,9,1077187,4.691489362,9,0.972222222,0.222222222,NotCR
TARDBP,35,57028.0231,1.45E-08,0.099131463,0.066666667,6219.971703,1955.166718,2809,9772,6808,-0.234620967,30,32,3928564,20.60086611,18,0.152941176,0,NotCR
ALDH4A1,3,100.9666978,1.45E-08,0.000376995,0.058823529,4496.734257,821.157196,53,943,112,-0.619852941,3,2,30679,2.571428571,3,0.333333333,0,CR
HSPG2,6,29769.2407,1.45E-08,0.001349012,0.0625,4762.703663,973.1009521,85,1667,200,-0.008051864,4,1,69964,6,3,0,0,NotCR
RCAN3,4,3512.467638,1.45E-08,0.000514663,0.0625,4585.231917,862.8652496,36,904,84,-0.225396825,4,1,30070,3.857142857,3,0,0,NotCR
SESN2,7,31822.73133,1.45E-08,0.006605646,0.0625,5337.152628,1343.358276,298,4561,638,-0.409022792,7,4,340797,6.05862069,6,0.238095238,0,NotCR
AGO4,7,97372.91451,1.45E-08,0.001227389,0.0625,4747.275144,951.7939758,122,1526,286,-0.20461857,6,5,74601,4.460176991,5,0.19047619,0,NotCR
AGO1,47,2663293.638,1.45E-08,0.040615348,0.066666667,5976.526687,1767.407837,1424,7915,5010,0.559523185,16,23,1712011,35.43237251,12,0.028677151,0,NotCR
AGO3,14,330177.5413,1.45E-08,0.003959298,0.0625,5154.030547,1201.981537,266,3016,714,0.065119613,10,7,200811,9.726907631,8,0.131868132,0,NotCR
RRAGC,7,11144.6249,1.45E-08,0.001713495,0.0625,4897.682004,1050.433105,146,1950,334,-0.295018403,7,7,106787,4.683453237,6,0.476190476,0.428571429,NotCR
PABPC4,18,74543.56092,1.45E-08,0.056147472,0.066666667,6056.12679,1839.384247,1652,9056,3610,-0.490156437,17,11,2064254,13.2095882,14,0.104575163,0.055555556,NotCR
RPS8,83,26048.84337,1.45E-08,0.746837169,0.066666667,6354.533408,2050.838379,6776,10703,20358,0.136989263,56,83,10472549,22.64425519,36,0.50367323,0.012048193,NotCR
UQCRH,5,23979.35939,1.45E-08,0.00963857,0.066666667,5303.852872,1314.849396,190,4434,400,-0.4062324,5,2,260139,4.505494505,4,0.1,0.2,NotCR
PRPF38A,8,4015.610613,1.45E-08,0.021283766,0.066666667,5584.867782,1512.210358,744,6003,1544,-0.626126052,8,3,969427,6.952251023,8,0.107142857,0,NotCR
MAGOH,11,6666.61172,1.45E-08,0.00851803,0.0625,5279.623804,1312.365112,462,4292,1034,-0.337032372,10,9,410850,9.285077951,9,0.181818182,0,NotCR
GNG12,4,1174.299003,1.45E-08,0.002647921,0.066666667,4901.668756,1056.10318,125,2386,262,-0.663346373,4,1,104982,3.35042735,4,0,0,NotCR
SRSF11,13,39942.75686,1.45E-08,0.012731369,0.0625,5359.986502,1362.728394,551,4673,1258,-0.223066613,11,9,545160,9.129213483,9,0.179487179,0,NotCR
CTH,2,226.103947,1.45E-08,5.76E-05,0.058823529,4166.244361,630.0927048,11,290,24,-0.277777778,2,1,5747,2,2,0,0,NotCR
NRAS,140,490372.9255,1.45E-08,0.047714512,0.066666667,6041.322761,1824.179352,2258,8813,23976,0.830294195,21,110,2740557,70.53639847,15,0.018499486,0.007142857,NotCR
VANGL1,9,11529.22121,1.45E-08,0.015761608,0.0625,5564.553215,1515.821213,1904,5548,3880,-0.811903992,9,2,1943290,4.933333333,9,0.055555556,0,NotCR
ATP1A1,19,53754.9064,1.45E-08,0.049665201,0.0625,6104.496631,1886.549011,3640,8778,7622,-0.588584623,18,18,4071152,9.410773481,14,0.116959064,0,NotCR
POLR3C,12,10854.11095,1.45E-08,0.004379072,0.0625,5069.603108,1172.18335,304,3264,740,-0.105494144,9,10,227137,8.482758621,8,0.393939394,0,NotCR
PRKAB2,58,382721.321,1.45E-08,0.023114885,0.066666667,5904.685262,1736.696838,1956,7911,7218,0.418879727,25,34,1539256,35.19552477,13,0.038717483,0.051724138,NotCR
CERS2,10,49801.77773,1.45E-08,0.019441546,0.0625,5433.041144,1418.707199,2450,4400,4990,-0.360434182,7,4,2593150,3.92358258,6,0.066666667,0,NotCR
NPR1,19,388593.8127,1.45E-08,0.004204506,0.058823529,5099.547788,1200.004425,442,3381,1226,0.4136419,9,4,391627,16.54987835,6,0.040935673,0,NotCR
MRPL24,14,14317.85592,1.45E-08,0.022835231,0.0625,5580.547274,1532.320663,1530,5824,3242,-0.495378348,14,14,1572321,10.16754617,12,0.494505495,0,NotCR
ATP1A2,2,0,1.45E-08,0.000540902,0.0625,4453.989395,781.9547882,19,635,40,-0.596153846,2,2,28287,1.529411765,2,1,0,NotCR
VANGL2,4,4765.906875,1.45E-08,0.008445956,0.0625,5522.033436,1477.964905,771,5385,1554,-0.850616271,4,1,841594,3.931847969,4,0,0,NotCR
NDUFS2,20,26740.85407,1.45E-08,0.030940048,0.066666667,5805.985892,1676.498871,1901,7270,4182,-0.356733541,18,19,2032212,12.86170213,12,0.436842105,0,CR
SOAT1,15,14033.41791,1.45E-08,0.029462886,0.066666667,5696.420885,1598.624847,3242,6146,6694,-0.656805375,14,12,3440631,5.77853598,13,0.114285714,0,NotCR
LHX9,1,0,1.45E-08,8.69E-05,0.0625,4107.344673,592.3194122,20,143,40,-0.9,1,1,7535,1,1,0,0,NotCR
TIMM17A,1,0,1.45E-08,0.000137754,0.058823529,4298.178127,716.9473877,14,987,28,-0.857142857,1,1,14583,1,1,0,0,NotCR
ARL8A,1,0,1.45E-08,0.000172566,0.0625,4239.70332,658.1746979,6,167,12,-0.666666667,1,1,5348,1,1,0,0,NotCR
RBBP5,31,40770.16549,1.45E-08,0.067090975,0.066666667,5963.833841,1770.432617,2007,7885,4944,0.121892422,18,31,2801049,20.09665992,12,0.234408602,0,NotCR
DEGS1,4,22808.797,1.45E-08,0.010438338,0.0625,5339.791432,1354.451584,1351,3909,2714,-0.586273663,4,1,1413696,2.403574088,3,0,0,NotCR
WDR26,17,25980.40301,1.45E-08,0.01014701,0.066666667,5348.009077,1343.384247,457,4400,1186,0.053030574,11,12,467331,13.38215103,8,0.242647059,0,NotCR
TRIM67,1,0,1.45E-08,0.017903652,0.066666667,5518.673435,1464.056671,462,5599,924,-0.995670996,1,1,711582,1,1,0,0,NotCR
RGS7,3,844.2449891,1.45E-08,0.000112592,0.058823529,4418.151454,765.8099976,42,373,90,-0.588368154,3,1,14949,3,3,0,0,NotCR
AKT3,5,1537.160555,1.45E-08,0.008928561,0.0625,5359.8413,1359.237915,386,4678,792,-0.747612036,5,3,468730,4.696569921,5,0.2,0,NotCR
GDI2,13,44503.43943,1.45E-08,0.018941992,0.0625,5614.13358,1547.315735,954,6262,2064,-0.273453904,10,10,1039612,11.62793177,8,0.128205128,0.153846154,NotCR
PRKCQ,11,22777.87479,1.45E-08,0.020975924,0.066666667,5746.397616,1631.946381,1286,6870,2682,-0.636303792,11,6,1535087,9.332285939,10,0.236363636,0,NotCR
KIN,2,22568,1.45E-08,0.002379037,0.0625,4865.108844,1033.584412,76,2021,154,-0.306666667,2,1,95040,2,1,0,0,NotCR
TIMM23,1,0,1.45E-08,1.97E-05,0.058823529,3887.432162,488.9294052,3,48,6,-0.333333333,1,1,1903,1,1,0,0,NotCR
OGDHL,1,0,1.45E-08,0.003143081,0.066666667,5017.686566,1125.030304,89,2582,178,-0.97752809,1,1,140808,1,1,0,0,NotCR
PRKG1,7,24273.97533,1.45E-08,0.003233172,0.0625,5108.242105,1200.608643,134,3665,310,-0.239194139,6,1,145064,6.883333333,5,0,0,NotCR
SGPL1,11,31152.31275,1.45E-08,0.027949928,0.0625,5762.590534,1645.704285,3088,6461,6286,-0.704240977,11,7,3322358,4.857468272,10,0.109090909,0,NotCR
PPP3CB,5,4454.364809,1.45E-08,0.004473777,0.066666667,5033.43416,1140.250885,158,3093,336,-0.403532112,5,1,203077,4.864864865,4,0,0,NotCR
POLR3A,18,13271.39301,1.45E-08,0.013033806,0.0625,5308.106813,1326.898499,550,4455,1406,-0.058837568,13,17,548690,10.61016949,10,0.366013072,0.055555556,NotCR
MAT1A,2,22568,1.45E-08,3.29E-05,0.058823529,4015.913428,549.0396042,7,151,16,0,2,1,2475,2,1,0,0.5,CR
CYP2C9,1,0,1.45E-08,0.000471865,0.058823529,4399.574217,770.099205,21,1222,42,-0.904761905,1,1,23805,1,1,0,0,NotCR
SCD,6,3324.058278,1.45E-08,0.022168115,0.0625,5668.703589,1583.428391,2264,6266,4558,-0.964628663,6,2,2452608,2.861579414,6,0.066666667,0,NotCR
BTRC,145,1351985.898,1.45E-08,0.193169032,0.066666667,6777.739519,2345.235596,6125,12399,33130,0.667913183,38,129,8600791,69.87424547,18,0.034578544,0.013793103,NotCR
EIF3A,26,28913.98708,1.45E-08,0.027620315,0.0625,5593.658652,1519.165161,1002,5938,2654,0.049262048,18,26,1068274,16.7295082,13,0.344615385,0,NotCR
BUB3,24,83635.35816,1.45E-08,0.030751454,0.066666667,5770.216977,1637.835175,1178,7465,2908,-0.03783493,17,20,1442013,14.02434783,13,0.148550725,0.125,NotCR
CYP2E1,2,138.6246438,1.45E-08,0.000737212,0.0625,4607.746227,885.0602264,48,1576,98,-0.837662338,2,1,41739,1.954545455,2,0,0,NotCR
HRAS,129,2044854.647,1.45E-08,0.05839022,0.066666667,6346.188423,2035.036621,2961,10529,22434,0.773090434,24,101,3426995,72.27496434,15,0.022650194,0.015503876,NotCR
TALDO1,4,2222.664861,1.45E-08,0.000660846,0.0625,4669.903429,917.8920135,32,1223,76,-0.246031746,4,1,28061,3.666666667,4,0,0,NotCR
PPFIBP2,1,0,1.45E-08,0.0012518,0.0625,4775.542367,979.0372162,62,1513,124,-0.967741935,1,1,82241,1,1,0,0,NotCR
EIF3F,32,74742.747,1.45E-08,0.054770963,0.066666667,5956.059238,1766.673828,1719,8138,4430,0.151321831,18,24,2195394,21.85365854,13,0.189516129,0.0625,NotCR
GTF2H1,21,27264.64933,1.45E-08,0.046398882,0.066666667,5809.104043,1659.196777,1285,7072,2990,0.066438467,13,18,1828910,15.08802538,11,0.285714286,0,NotCR
RCN1,14,229952.0898,1.45E-08,0.006378621,0.0625,5504.182076,1462.067383,342,5878,866,0.076069583,9,2,367728,12.2173913,6,0.043956044,0,NotCR
MTCH2,30,68780.49588,1.45E-08,0.045452374,0.066666667,5922.804476,1748.990234,1484,8557,3838,0.014472749,20,24,1865945,19.35082873,13,0.154022989,0.033333333,NotCR
SSRP1,38,144566.0991,1.45E-08,0.068679511,0.066666667,6080.936738,1854.912231,2271,9104,5948,0.072540803,23,34,3070566,21.24181247,16,0.13940256,0,NotCR
BANF1,14,85763.01264,1.45E-08,0.021825036,0.066666667,5666.058433,1562.197144,918,6217,2018,-0.283376009,12,6,1169661,12.109375,10,0.065934066,0,NotCR
GSTP1,11,42460.61894,1.45E-08,0.014023663,0.0625,5780.284918,1658.779907,1007,7482,2124,-0.634829741,11,3,974787,9.666666667,10,0.054545455,0.090909091,NotCR
NDUFV1,32,58201.00049,1.45E-08,0.023783849,0.0625,5669.949417,1588.357239,2302,6262,5596,0.042252908,20,32,2236038,16.12687225,13,0.231854839,0.03125,NotCR
NDUFS8,26,13863.76456,1.45E-08,0.013212837,0.0625,5464.020532,1443.686768,927,5787,2504,0.021237917,19,25,795306,11.72888889,12,0.295384615,0.076923077,NotCR
PPFIA1,19,60415.5614,1.45E-08,0.019667898,0.066666667,5725.951332,1612.391266,1008,7075,2358,-0.131229625,15,4,1023282,15.23877551,12,0.052631579,0,NotCR
ARRB1,50,574188.8562,1.45E-08,0.080493226,0.071428571,6286.383822,1992.418823,2621,9985,7692,0.288628581,24,40,3570126,32.87778212,16,0.059591837,0.02,NotCR
RPS3,112,1212678.661,1.45E-08,0.751293532,0.066666667,6794.085953,2373.259735,9154,12256,30740,0.304005532,60,105,13367243,41.96126176,36,0.262065637,0.008928571,NotCR
PAK1,31,218862.121,1.45E-08,0.043162443,0.066666667,6093.129043,1862.295654,1965,8894,4860,0.085719464,17,18,2364227,22.71398856,13,0.075268817,0,NotCR
DYNC2H1,1,0,1.56E-09,7.14E-18,1,1,1.5,2,1,4,0,1,1,1,,1,0,0,NotCR
ACAT1,6,6206.296323,1.45E-08,0.009976907,0.0625,5379.00521,1384.032578,301,5258,632,-0.411849185,6,4,359243,5.488054608,5,0.2,0.166666667,NotCR
RDX,5,1773.298331,1.45E-08,0.001421048,0.0625,4943.763074,1086.124435,126,2219,272,-0.572698413,5,2,94127,4.872881356,5,0.1,0.2,NotCR
DLAT,15,4889.072878,1.45E-08,0.005491651,0.066666667,5208.979362,1257.166901,363,3730,936,-0.06159458,12,14,315260,10.3314121,10,0.238095238,0,CR
FEZ1,18,60218.23154,1.45E-08,0.007581235,0.0625,5502.30179,1456.968933,338,5817,982,0.17835546,11,2,365637,17.05263158,8,0.006535948,0,NotCR
CHEK1,35,78994.05109,1.45E-08,0.094845063,0.066666667,6232.960195,1965.627655,2768,10038,6726,-0.103778756,26,28,4044682,20.2732942,17,0.109243697,0.028571429,NotCR
APLP2,5,2413.475985,1.45E-08,0.006004479,0.066666667,5291.61771,1315.347809,338,4478,696,-0.617798868,5,1,379477,4.862804878,4,0,0,NotCR
CD9,7,24069.02026,1.45E-08,0.002222177,0.0625,5010.367584,1135.22789,150,2974,342,-0.075109823,5,5,130161,6.156028369,5,0.19047619,0,NotCR
GAPDH,45,303158.3322,1.45E-08,0.099770583,0.066666667,6472.85464,2135.113983,3072,11501,8124,0.048047385,29,35,4178153,29.5130838,17,0.061616162,0.088888889,CR
PHB2,40,467393.682,1.45E-08,0.079125573,0.066666667,6444.609599,2122.45459,3184,11103,7928,0.00788158,28,36,4060763,28.76433121,16,0.071794872,0.125,NotCR
MAGOHB,10,4162.931626,1.45E-08,0.005875472,0.066666667,5362.833403,1364.11441,497,4741,1084,-0.513026929,10,3,410967,8.354166667,9,0.044444444,0,NotCR
ARHGDIB,1,0,1.45E-08,0.000838683,0.0625,4636.316898,892.2867279,37,1193,74,-0.945945946,1,1,49419,1,1,0,0,NotCR
KRAS,177,1258286.984,1.45E-08,0.082963906,0.066666667,6392.472713,2070.027374,3519,10749,38190,0.841059441,27,132,4414945,91.0500455,15,0.014637904,0.011299435,NotCR
ITPR2,5,4790.003648,1.45E-08,0.016330281,0.0625,5456.661187,1436.431564,1802,4738,3624,-0.965731854,5,3,1897318,2.532033426,5,0.2,0,NotCR
PPFIBP1,5,858.0066071,1.45E-08,0.01111216,0.066666667,5375.337371,1368.569733,644,4649,1308,-0.921457202,5,3,703291,3.27856025,5,0.4,0,NotCR
YARS2,4,2262.208983,1.45E-08,0.004273597,0.066666667,5199.336253,1248.793365,194,3756,400,-0.732422969,4,2,218284,3.765957447,4,0.166666667,0,NotCR
RHEBL1,2,502.889827,1.45E-08,0.0004423,0.0625,4599.712188,876.8503723,63,1190,128,-0.566666667,2,1,41429,2,2,0,0,CR
SOAT2,1,0,1.45E-08,0.001075669,0.0625,4737.413807,958.6540985,53,1520,106,-0.962264151,1,1,65245,1,1,0,0,NotCR
CBX5,66,463876.4436,1.45E-08,0.095550022,0.066666667,6246.684552,1963.475464,3131,9444,10552,0.390400534,29,58,4088425,37.11285574,17,0.072261072,0.03030303,NotCR
HNRNPA1,128,717254.9764,1.45E-08,0.282435052,0.066666667,6589.286402,2210.14917,6350,11354,28956,0.554781795,45,118,9331770,50.70959433,18,0.067667323,0,NotCR
RAB5B,7,47162.07436,1.45E-08,0.004460482,0.0625,5252.910588,1287.264389,245,4181,532,-0.381643983,6,3,228048,6.641025641,5,0.095238095,0.142857143,CR
RPS26,62,15452.45025,1.45E-08,0.611216074,0.066666667,6169.380703,1921.643311,4992,9929,13766,-0.01818379,52,60,7730694,16.72037338,36,0.659968271,0.016129032,NotCR
ERBB3,51,108657.9015,1.45E-08,0.06713976,0.066666667,6079.889164,1856.963348,2677,8902,7904,0.248111912,26,42,3495551,26.91287734,17,0.115294118,0.019607843,NotCR
PTGES3,21,45345.47641,1.45E-08,0.048419706,0.066666667,6018.003372,1810.814941,1767,8567,3954,-0.293442237,18,18,2390419,15.4939759,14,0.2,0,NotCR
LRIG3,5,1142.294562,1.45E-08,0.01327833,0.0625,5392.667226,1392.793625,1641,4274,3302,-0.924842001,5,2,1732229,2.651561543,5,0.1,0,NotCR
TSPAN8,1,0,1.45E-08,0.000102485,0.058823529,4293.741153,695.7799377,10,355,20,-0.8,1,1,7217,1,1,0,0,NotCR
GLIPR1,1,0,1.45E-08,0.007600101,0.066666667,5300.809485,1319.76236,197,4566,394,-0.989847716,1,1,307967,1,1,0,0,NotCR
PPFIA2,4,828.2213411,1.45E-08,0.002797924,0.0625,5082.7052,1178.089355,150,3231,312,-0.633167317,4,1,127222,3.830985915,4,0,0,NotCR
UBE2N,54,777172.2144,1.45E-08,0.085941007,0.066666667,6334.616328,2035.945526,3119,10252,9100,0.272460963,28,33,4090666,33.2007874,16,0.051013277,0,NotCR
SLC25A3,14,24198.87474,1.45E-08,0.048117744,0.066666667,6006.535423,1815.326263,2173,8397,4528,-0.646465693,14,7,2628985,10.2527881,13,0.087912088,0.071428571,NotCR
HCFC2,6,68.67963272,1.45E-08,0.008591809,0.066666667,5081.723121,1166.802643,249,3007,528,-0.686702248,6,6,318659,3.827160494,6,0.733333333,0,NotCR
POLR3B,11,3284.079708,1.45E-08,0.005045089,0.0625,4970.816925,1101.340576,239,2417,588,-0.217578778,10,11,180714,5.307017544,8,0.6,0,NotCR
MVK,1,0,1.45E-08,5.88E-07,0.055555556,3384.762341,275.2698021,3,5,6,-0.333333333,1,1,153,1,1,0,1,NotCR
ATP2A2,30,229281.6382,1.45E-08,0.063356753,0.066666667,6232.059835,1970.802948,4545,9189,9960,-0.334063881,25,15,5078292,14.39360284,15,0.057471264,0.033333333,NotCR
PRKAB1,10,7063.678587,1.45E-08,0.005713157,0.0625,5303.63529,1324.959473,410,4327,910,-0.311111213,9,8,388994,8.442211055,8,0.488888889,0.2,NotCR
RPLP0,61,26110.59688,1.45E-08,0.602035502,0.066666667,6291.25527,2006.976807,5603,10470,14866,-0.098737569,53,61,8586667,17.9852039,36,0.60273224,0.016393443,NotCR
MLXIP,3,1541.782946,1.45E-08,0.003451294,0.0625,5146.616481,1212.493286,181,3219,368,-0.750350631,3,1,195925,2.948571429,3,0,0.333333333,NotCR
VPS37B,15,13374.50946,1.45E-08,0.013432919,0.066666667,5646.729171,1557.442902,821,6589,1852,-0.360727429,14,11,829763,11.98877805,11,0.123809524,0,NotCR
DHX37,3,415.365054,1.45E-08,0.005706857,0.0625,5137.506427,1213.974548,203,3471,412,-0.846611791,3,1,199808,2.984771574,3,0,0,NotCR
IFT88,8,748.1874713,1.45E-08,0.000226645,0.0625,4406.765236,760.3223419,103,521,262,-0.166205755,7,8,23380,2.947368421,7,0.642857143,0,NotCR
ATP7B,6,17681.91639,1.45E-08,0.003055702,0.066666667,5082.256743,1173.202301,140,3211,310,-0.294062473,5,2,160554,5.815384615,4,0.066666667,0,NotCR
VPS36,7,78366.44715,1.45E-08,0.009082691,0.066666667,5478.925094,1434.854523,466,5296,974,-0.361012482,7,6,548192,6.388646288,5,0.476190476,0,NotCR
HNRNPA1L2,2,31.03595729,1.45E-08,0.001349854,0.0625,4793.675015,991.0303802,41,1760,84,-0.813852814,2,1,54351,2,2,0,0,NotCR
DIS3,29,173214.1246,1.45E-08,0.014980016,0.0625,5784.068404,1664.927917,1594,7067,4000,0.071431915,17,17,1560622,21.83354673,11,0.233990148,0,NotCR
UCHL3,12,19418.11108,1.45E-08,0.01791597,0.066666667,5763.471054,1636.449249,699,7519,1530,-0.289198821,10,3,905094,10.42941176,9,0.045454545,0,NotCR
APEX1,30,128139.2314,1.45E-08,0.10634985,0.071428571,6242.59284,1963.54718,2799,9570,6468,-0.126051796,21,20,3996280,18.96339253,16,0.085057471,0.066666667,NotCR
RBM23,4,2166.171111,1.45E-08,0.015657251,0.066666667,5432.738578,1403.211304,499,4952,1010,-0.851244698,4,2,636258,3.797160243,4,0.166666667,0,NotCR
PSMB5,46,32562.66514,1.45E-08,0.078400996,0.066666667,5938.020324,1761.939148,2670,8651,7410,0.012291123,37,45,3422304,16.80060999,28,0.615458937,0,NotCR
DCAF11,19,4655.923633,1.45E-08,0.028018985,0.066666667,5531.717771,1470.385712,1058,5578,2458,-0.359693258,18,18,1312199,9.5,15,0.514619883,0,NotCR
RABGGTA,2,0,1.45E-08,0.000331766,0.058823529,4518.452231,829.8045044,38,872,78,-0.653679654,2,2,26953,1.888888889,2,1,0.5,NotCR
PRKD1,16,14623.14802,1.45E-08,0.018474849,0.066666667,5564.335628,1497.301056,650,6051,1540,-0.11771487,10,4,857087,12.79487179,9,0.041666667,0,NotCR
RPL10L,20,18.69620055,1.45E-08,0.21703659,0.0625,5404.279623,1402.446045,1439,5642,3258,-0.537243977,20,20,2330465,3.495419309,20,0.863157895,0,NotCR
TRIM9,8,12311.52091,1.45E-08,0.007882637,0.0625,5349.166134,1353.56543,391,4649,838,-0.483056245,8,2,388998,6.205804749,8,0.071428571,0,NotCR
RGS6,3,4965.070679,1.45E-08,0.001024844,0.0625,4631.452578,885.7192993,50,1184,106,-0.468253968,3,1,45501,3,3,0,0,NotCR
DICER1,15,85233.83252,1.45E-08,0.017868501,0.066666667,5575.394647,1486.958221,578,5594,1366,-0.127153953,12,10,612049,12.52688172,9,0.104761905,0,NotCR
SP23,22,56552.32529,1.45E-08,0.011729765,0.0625,5589.399381,1528.256165,1338,5654,3138,-0.002853235,15,19,1275995,16.2863671,10,0.186147186,0,NotCR
MAP2K1,26,57515.05745,1.45E-08,0.053677623,0.066666667,6014.753605,1816.418121,1811,8899,4272,-0.168639436,19,21,2461624,17.54269663,16,0.169230769,0,NotCR
RPL4,72,34343.95605,1.45E-08,0.669465052,0.066666667,6273.240096,1992.721741,5782,10438,16676,0.035890103,56,70,8931245,19.48843728,36,0.556338028,0.013888889,NotCR
IDH3A,4,8455.489714,1.45E-08,0.001799034,0.0625,5111.285416,1210.152573,192,3615,396,-0.473345005,4,1,177914,3.97826087,3,0,0.25,NotCR
ARHGDIG,2,394.0530864,1.45E-08,0.001289048,0.058823529,4903.486715,1064.38916,162,1939,326,-0.950624718,2,1,105707,1.835443038,2,0,0,NotCR
RHOT2,8,27795.41054,1.45E-08,0.007536791,0.0625,5451.207004,1423.779053,352,5404,760,-0.238680551,6,6,412883,6.85380117,6,0.214285714,0,NotCR
TELO2,13,30402.26106,1.45E-08,0.016919188,0.066666667,5460.282681,1422.345306,533,5397,1222,-0.233723942,11,10,695560,8.516377649,10,0.230769231,0.076923077,NotCR
IFT140,3,0,1.45E-08,0.00013849,0.0625,4289.131964,690.9652863,31,406,68,-0.478312537,3,3,9060,1.821428571,3,1,0,NotCR
PDPK1,16,8579.569094,1.45E-08,0.026916902,0.066666667,5696.438298,1591.936066,919,7036,2078,-0.316225589,13,8,1253382,12.04916201,11,0.075,0,NotCR
RPS15A,72,43078.88971,1.45E-08,0.628159396,0.066666667,6106.851049,1877.394775,4870,9719,14852,0.120808988,52,70,7660876,17.08423686,36,0.516823161,0.013888889,NotCR
UQCRC2,27,12678.20966,1.45E-08,0.022413926,0.0625,5555.404648,1500.66925,1091,6093,2884,-0.061130592,21,26,1165448,14.52869238,13,0.267806268,0,NotCR
TUFM,42,121120.9247,1.45E-08,0.056924731,0.0625,5839.117177,1702.313965,1426,8169,4574,0.281674746,21,25,1596047,24.19664967,13,0.06271777,0,NotCR
ATP2A1,4,20352.3023,1.45E-08,0.003704514,0.0625,5110.477855,1195.619141,159,3262,330,-0.431124431,4,2,199455,3.869281046,3,0.166666667,0,NotCR
STX1B,4,1673.807564,1.45E-08,0.000729072,0.0625,4736.653562,960.8879242,72,1644,156,-0.36735589,4,1,54610,3.6875,3,0,0,NotCR
GO1,4,513.8305678,1.45E-08,0.00021278,0.0625,4452.141379,784.3021393,31,675,74,-0.189285714,4,1,15629,2.956521739,3,0,0,CR
PDP2,1,0,1.45E-08,0.000147928,0.0625,4382.461643,746.5657196,13,585,26,-0.846153846,1,1,10511,1,1,0,0,NotCR
NOB1,16,56508.93364,1.45E-08,0.030972455,0.066666667,5879.2996,1732.097076,1999,7394,4238,-0.428693358,16,14,2569369,12.59162039,13,0.308333333,0,NotCR
TAT,2,142.1748107,1.45E-08,0.003113332,0.0625,4915.244811,1067.911377,110,2296,222,-0.813333333,2,1,141390,1.981132075,2,0,0,NotCR
COX4I1,33,96763.0055,1.45E-08,0.020787107,0.0625,5676.206066,1590.205811,1159,7088,3374,0.194586939,20,28,1194476,19.4826358,13,0.143939394,0,NotCR
RPA1,73,358341.7063,1.45E-08,0.13283742,0.066666667,6377.544544,2064.918823,4085,10454,13426,0.390402362,30,68,5627558,36.72772648,17,0.098934551,0,NotCR
ARRB2,56,372726.5323,1.45E-08,0.103527911,0.066666667,6352.813442,2050.707794,3550,10153,10180,0.22145053,29,49,4739346,33.46831087,17,0.071428571,0.035714286,NotCR
EIF4A1,22,28070.48646,1.45E-08,0.05932128,0.066666667,5898.402575,1730.469116,1768,7681,3998,-0.113751396,16,20,2263468,15.56651376,13,0.186147186,0,NotCR
CHD3,61,205321.864,1.45E-08,0.131014241,0.066666667,6342.249079,2037.917969,3797,10292,11254,0.220126241,33,56,5189826,30.58992227,18,0.118579235,0.049180328,NotCR
SCO1,10,85736.95914,1.45E-08,0.015156795,0.0625,5745.891708,1654.782227,1985,6501,4060,-0.426935703,9,4,2422812,8.69168357,7,0.133333333,0,NotCR
MAP2K4,18,9212.929471,1.45E-08,0.019002554,0.066666667,5580.427126,1510.934967,760,6223,1826,-0.208448212,15,15,982029,13.15290934,12,0.156862745,0.055555556,NotCR
TTC19,7,2924.106126,1.45E-08,0.001483096,0.0625,4916.876206,1070.144882,138,2056,318,-0.289425437,6,1,100148,6.60483871,5,0,0,NotCR
MAPK7,26,20285.80739,1.45E-08,0.028036135,0.066666667,5750.216761,1625.401398,991,7259,2632,0.047068753,15,10,1317345,18.25705329,11,0.083076923,0.038461538,CR
SLC6A4,9,43882.76198,1.45E-08,0.004858302,0.0625,5376.330334,1367.051147,199,4791,470,-0.04041226,6,3,241904,8.080645161,5,0.083333333,0,NotCR
RHOT1,3,1056.030526,1.45E-08,0.005356341,0.0625,5208.575619,1256.083008,238,3587,482,-0.779637567,3,3,284307,2.846808511,3,0.666666667,0,NotCR
PSMD11,46,144284.9195,1.45E-08,0.075049283,0.066666667,5883.280944,1716.587524,2628,7993,7326,-0.008515301,37,42,3306008,15.95736434,28,0.588405797,0.02173913,NotCR
CCT6B,9,1752.239464,1.45E-08,0.012188267,0.0625,5286.394378,1316.30249,342,4573,756,-0.50796685,9,7,486849,4.350453172,8,0.444444444,0,NotCR
RPL23,66,39642.15897,1.45E-08,0.620402102,0.066666667,6206.212396,1948.170135,5232,10089,14754,0.011418144,54,64,8042803,18.07203718,36,0.586946387,0.015151515,NotCR
RPL19,59,3662.075345,1.45E-08,0.601442897,0.066666667,6015.609762,1811.079376,4453,9184,12328,-0.054665592,51,59,7115546,12.23236231,36,0.724137931,0.016949153,NotCR
ERBB2,87,436749.8737,1.45E-08,0.098335859,0.066666667,6454.676429,2125.037079,4484,10801,16450,0.466010062,35,75,5746316,44.89874572,17,0.087409783,0.022988506,NotCR
