Gene,Adipose...Subcutaneous,Adipose...Visceral..Omentum.,Adrenal.Gland,Artery...Aorta,Artery...Coronary,Artery...Tibial,Bladder,Brain...Amygdala,Brain...Anterior.cingulate.cortex..BA24.,Brain...Caudate..basal.ganglia.,Brain...Cerebellar.Hemisphere,Brain...Cerebellum,Brain...Cortex,Brain...Frontal.Cortex..BA9.,Brain...Hippocampus,Brain...Hypothalamus,Brain...Nucleus.accumbens..basal.ganglia.,Brain...Putamen..basal.ganglia.,Brain...Spinal.cord..cervical.c.1.,Brain...Substantia.nigra,Breast...Mammary.Tissue,Cells...Cultured.fibroblasts,Cells...EBV.transformed.lymphocytes,Cervix...Ectocervix,Cervix...Endocervix,Colon...Sigmoid,Colon...Transverse,Esophagus...Gastroesophageal.Junction,Esophagus...Mucosa,Esophagus...Muscularis,Fallopian.Tube,Heart...Atrial.Appendage,Heart...Left.Ventricle,Kidney...Cortex,Kidney...Medulla,Liver,Lung,Minor.Salivary.Gland,Muscle...Skeletal,Nerve...Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin...Not.Sun.Exposed..Suprapubic.,Skin...Sun.Exposed..Lower.leg.,Small.Intestine...Terminal.Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole.Blood,Class
SSRP1,93.5881,83.144,61.6598,83.0245,81.9468,91.4513,107.206,29.9636,34.8216,36.1697,101.324,98.2564,52.7343,51.3824,30.6833,39.3968,40.1411,30.4486,39.6554,31.2047,98.9793,178.087,212.561,130.692,145.906,92.001,80.6078,94.8432,94.4365,92.0543,140.635,32.9889,23.1224,39.187,69.2368,25.9078,104.227,85.0438,76.9803,126.64,151.528,50.3837,110.591,90.5068,104.873,111.145,89.248,90.8418,75.4481,98.0386,121.746,150.999,110.812,19.9363,NotCR
PRPF19,77.6559,74.4077,94.0061,87.5053,77.0144,83.0657,107.524,50.7424,82.5852,60.6728,189.848,170.369,133.985,154.186,51.5919,94.0094,76.654,51.5701,60.8569,54.5139,89.3805,143.073,174.94,127.195,122.876,80.1083,72.1137,84.0416,116.363,80.1584,117.067,32.2692,26.8801,33.9022,62.1506,41.4925,71.0102,88.0444,56.3777,107.692,133.975,41.4989,145.125,110.971,128.918,135.505,82.3951,93.0051,66.2536,69.1935,92.4099,119.883,109.528,26.5685,NotCR
SDHAF2,29.2478,25.8667,28.5383,26.6977,26.7205,26.7247,25.8856,10.7119,13.4653,12.7847,19.7124,19.1161,16.3842,18.524,9.60349,17.8809,14.2241,11.3704,16.1498,12.7712,28.5996,31.1206,37.2838,31.6274,32.3834,25.3092,21.1847,25.4996,22.4663,24.687,31.6974,17.2462,15.2148,15.0583,26.1026,15.3858,26.8068,20.8706,20.0334,29.4629,29.5628,8.31841,39.8585,28.6175,23.3198,24.4875,24.7748,32.1735,19.8675,29.0651,33.0011,32.8072,24.832,21.221,NotCR
DAGLA,3.99298,3.68054,2.80988,1.28547,2.42394,1.36462,1.86728,6.43024,12.5965,7.44653,12.7283,23.3765,26.8743,20.1954,8.39383,6.48457,7.9246,6.74995,2.04668,3.6117,6.01127,4.18398,0.0688307,4.06581,5.53751,4.7278,6.74879,3.90423,6.85704,3.80121,5.4232,3.07196,1.56421,1.50238,2.5197,0.323482,5.09775,7.15578,2.33656,5.82973,1.7364,4.50624,7.19866,6.06018,1.36297,1.61331,4.56654,3.74319,3.22354,6.49669,3.55917,5.91335,2.26881,0.280753,NotCR
FEN1,8.88636,6.44562,13.739,5.25516,6.59827,6.55784,8.33605,6.26806,9.0087,6.68348,32.4816,26.892,12.5058,16.6168,6.697,9.30754,7.07457,6.36261,9.54397,6.76714,8.47432,35.8062,121.598,7.51056,8.71293,9.36047,10.4487,8.18221,18.3764,8.71076,9.03637,3.42111,3.5742,3.03132,6.91499,4.85128,9.0199,8.56142,9.1997,8.76407,7.12038,4.02222,15.0448,7.63397,9.29237,9.88041,12.7525,18.0658,7.59172,42.2722,5.8167,8.90988,8.3346,3.69791,NotCR
FADS1,10.671,11.6946,36.234,17.0696,15.5494,20.0341,11.6336,20.441,18.3647,14.9894,17.4062,18.8706,19.0099,17.447,16.0605,20.3544,13.5458,12.336,18.5839,12.264,6.31294,34.1668,19.5229,16.593,18.2769,7.2795,3.89387,11.5577,2.32353,10.1279,17.1873,9.43181,4.02447,2.86763,5.29127,8.98062,16.8328,3.29148,2.56838,28.01,22.0187,2.01484,15.088,10.5456,3.39869,2.8147,4.53435,4.37725,4.8338,6.85021,5.14208,20.3764,7.91225,1.86912,NotCR
FADS2,11.5408,12.219,223.068,58.6076,37.4351,33.8077,9.15758,55.5683,52.7479,56.081,23.904,31.8911,53.196,44.9979,40.8289,62.7859,52.2786,46.553,40.5394,53.0266,7.84285,33.06,82.5122,60.8297,65.9926,18.2646,8.01556,19.1671,5.20277,17.6452,32.8227,10.0507,4.12785,4.93981,11.7784,27.6512,20.4104,11.6553,2.03428,41.3048,15.8049,2.58588,44.9602,45.6856,15.1425,7.48378,10.437,6.17532,5.78169,27.1054,8.61188,58.149,22.0411,2.6141,NotCR
FADS3,174.479,129.038,86.4482,215.271,184.332,170.345,50.2777,26.7779,35.484,24.9409,47.0986,52.5181,49.6075,43.8084,23.9335,31.6212,32.072,19.7636,22.6281,21.8739,98.6451,101.786,8.92931,77.6482,76.4648,47.6243,26.4481,62.0658,12.2583,62.5267,63.5792,43.4044,39.6692,25.7716,23.916,13.8233,91.1506,19.6147,26.2836,230.532,77.8539,14.7757,26.6975,34.2668,14.6582,20.5819,48.7184,40.754,20.8948,29.6328,40.0302,76.3585,36.2451,3.61696,NotCR
PRDX5,250.356,259.135,511.567,225.041,212.782,168.534,262.814,274.937,369.894,297.519,643.486,540.666,377.672,494.131,239.733,400.95,329.119,248.368,291.029,287.833,275.596,354.691,401.188,442.719,437.06,239.903,348.279,211.961,560.349,200.935,356.414,308.195,284.149,334.05,419.541,175.229,378.127,313.68,225.494,323.608,453.651,124.352,520.124,277.906,255.668,258.835,263.554,240.73,335.536,314.862,682.731,299.123,405.409,234.58,NotCR
PYGM,10.1112,12.5332,3.26024,25.6418,25.0189,43.1318,26.2936,17.3122,15.5021,28.4393,12.6896,17.068,22.4795,17.0827,12.5863,7.73919,10.6206,22.9707,12.8814,12.5283,6.4848,0.612923,0.795234,13.1176,9.87154,38.7819,12.7494,39.9618,2.45579,41.7769,24.8473,25.8273,38.569,1.74433,1.94513,0.641888,4.87467,3.39315,2333.93,9.85069,4.48051,0.799866,2.45184,15.6125,2.24423,3.02916,6.4288,5.69515,2.76583,14.5097,8.86881,19.8433,6.53958,6.17071,NotCR
ATG2A,19.4879,16.1793,17.7729,19.3761,18.4125,20.7368,24.9037,7.57572,10.1487,9.46381,28.2326,33.7285,15.9017,12.0694,7.57962,10.1444,11.5693,8.04031,7.78954,7.79156,21.1577,13.7413,11.2583,27.4583,31.6533,20.282,17.619,21.2287,13.9294,19.3493,28.9426,9.08853,6.77139,10.4241,11.1179,17.1265,28.1463,16.2087,13.2604,29.1191,35.4484,9.22948,24.3371,25.5622,32.0594,36.8703,22.8275,24.937,18.5354,22.0132,28.7195,31.4623,20.1702,26.2265,NotCR
TM7SF2,43.8741,32.3916,343.028,7.31819,9.04029,5.37381,10.2529,23.3307,29.3734,22.9355,27.5924,28.2479,36.0705,35.0578,25.7039,28.0828,22.2693,19.6551,34.0085,24.71,28.6164,1.95545,17.8468,13.5752,8.26321,10.8043,11.0038,9.20489,55.8079,8.69778,21.923,32.9601,25.2965,19.6491,29.9177,51.4497,14.3862,37.5622,5.44737,12.9221,73.1358,36.0079,43.1087,48.3326,95.3969,90.9478,14.6015,10.9912,38.2307,33.1748,37.575,8.75584,36.994,3.78828,NotCR
BANF1,80.4967,89.7002,101.911,193.983,144.081,154.584,128.053,68.3515,70.9138,66.0528,103.783,90.448,64.9745,79.6177,63.1024,73.1095,70.1484,57.5509,91.7792,64.5741,93.4105,187.865,159.125,161.498,159.755,122.409,85.9344,107.431,92.2767,106.991,145.291,74.243,66.0974,57.4026,99.0586,51.0678,93.394,67.919,128.051,115.35,155.347,37.8367,99.5038,122.755,80.096,73.6301,75.2938,88.6119,63.0989,127.891,125.319,162.154,116.311,34.4186,NotCR
CCS,35.7961,34.6056,50.9152,42.2325,44.4792,34.2636,53.3192,19.6546,22.7457,21.7367,47.8968,49.2137,27.122,25.8237,18.2765,25.527,25.7214,18.711,23.9992,22.5706,39.3488,32.973,34.028,63.1945,72.4301,63.938,44.0077,54.0264,27.6346,50.2485,67.6346,25.95,14.0647,29.3029,35.2218,54.1235,41.4937,35.7848,13.1036,57.7577,83.2607,18.2889,63.9802,72.2979,32.2755,31.4238,50.4084,63.8126,34.0602,69.3636,65.7177,64.8324,48.8821,22.9047,NotCR
RPS6KB2,38.8445,34.9635,39.7758,49.114,51.2741,53.4436,47.7411,13.5481,15.2926,15.1048,64.9524,66.3681,20.2557,18.0076,15.0118,14.8054,15.1963,14.7231,23.6728,15.7627,42.5241,45.2512,65.4428,61.3242,60.4126,43.3945,40.7852,47.8193,105.796,47.1845,57.2291,20.9386,16.4851,24.6715,29.5606,36.7165,53.9591,49.8647,32.0838,53.7989,51.0122,25.2929,61.4092,73.4733,148.464,157.744,50.8556,70.9043,49.7356,32.7348,64.0772,62.4765,70.2638,46.9114,NotCR
GSTP1,401.54,381.892,307.909,845.062,606.58,541.446,585.8,156.59,155.145,160.667,201.942,193.241,155.237,159.328,141.616,241.996,162.347,155.292,243.433,211.017,421.313,735.492,809.388,821.749,667.858,426.738,374.489,478.646,2342.02,429.712,702.933,248.916,183.626,311.505,593.217,21.2059,765.448,479.282,208.078,555.657,524.777,181.06,505.664,443.475,896.077,829.016,345.261,352.039,394.014,79.7932,994.167,600.712,1401.25,163.774,NotCR
NDUFV1,143.436,117.49,150.243,128.792,130.092,141.916,150.382,81.8985,115.697,101.824,240.572,232.985,152.455,164.125,85.6916,101.583,114.903,95.6529,104.536,101.43,140.243,136.545,233.99,178.183,194.663,150.172,167.734,142.374,136.734,141.519,170.83,203.209,236.287,145.306,179.335,106.892,135.473,113.001,222.559,174.716,190.666,66.4056,149.355,138.175,151.865,160.459,136.915,153.968,136.735,164.94,210.157,174.856,153.136,41.4689,NotCR
NDUFS8,53.0644,56.8889,151.729,67.2872,69.2258,63.2518,63.0144,45.8076,54.7139,64.639,64.5507,62.9647,55.4547,64.5833,44.5408,58.9048,70.0772,62.2478,44.5335,48.4323,55.21,66.0158,56.6535,67.4036,64.4325,90.5319,63.4512,84.5022,59.9892,88.3572,66.8026,101.514,104.02,65.491,82.9207,37.6134,56.357,50.0632,94.7654,62.4689,52.3665,23.0976,93.7747,85.8854,54.9627,54.1377,48.7921,49.9138,62.2571,87.5152,84.2,69.8938,55.1818,20.4293,NotCR
