Gene,Adipose...Subcutaneous,Adipose...Visceral..Omentum.,Adrenal.Gland,Artery...Aorta,Artery...Coronary,Artery...Tibial,Bladder,Brain...Amygdala,Brain...Anterior.cingulate.cortex..BA24.,Brain...Caudate..basal.ganglia.,Brain...Cerebellar.Hemisphere,Brain...Cerebellum,Brain...Cortex,Brain...Frontal.Cortex..BA9.,Brain...Hippocampus,Brain...Hypothalamus,Brain...Nucleus.accumbens..basal.ganglia.,Brain...Putamen..basal.ganglia.,Brain...Spinal.cord..cervical.c.1.,Brain...Substantia.nigra,Breast...Mammary.Tissue,Cells...Cultured.fibroblasts,Cells...EBV.transformed.lymphocytes,Cervix...Ectocervix,Cervix...Endocervix,Colon...Sigmoid,Colon...Transverse,Esophagus...Gastroesophageal.Junction,Esophagus...Mucosa,Esophagus...Muscularis,Fallopian.Tube,Heart...Atrial.Appendage,Heart...Left.Ventricle,Kidney...Cortex,Kidney...Medulla,Liver,Lung,Minor.Salivary.Gland,Muscle...Skeletal,Nerve...Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin...Not.Sun.Exposed..Suprapubic.,Skin...Sun.Exposed..Lower.leg.,Small.Intestine...Terminal.Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole.Blood,Class
ATAD3B,22.7052,22.8518,15.7156,20.9524,22.5789,19.6974,31.0634,8.06371,10.9202,8.86995,35.4561,37.9733,17.7711,13.3472,9.6439,12.3839,10.8605,8.09905,10.4537,8.93068,28.639,25.8964,30.277,42.5061,43.9616,24.0963,22.2998,21.4885,26.5634,20.5058,41.5471,9.78462,6.50418,17.8339,32.1831,14.0966,31.6409,22.0515,7.27664,35.7707,38.7988,12.4393,45.8617,41.2711,32.2586,32.8931,25.5053,35.5835,19.1429,41.0997,41.3408,39.1274,32.1054,8.0319,NotCR
PARK7,185.512,185.634,245.936,273.087,253.218,241.283,185.357,159.937,186.83,172.193,277.671,234.467,181.328,224.484,141.616,182.992,192.82,143.05,196.155,167.046,188.602,302.889,303.716,220.679,215.96,204.49,137.383,204.716,106.865,207.328,218.861,139.999,130.097,128.403,163.495,110.767,164.313,130.84,214.327,258.043,228.208,78.3723,250.513,211.129,93.6087,96.2719,121.727,144.996,128.713,150.152,237.637,207.219,153.047,61.4826,NotCR
SLC2A7,0.0,0.0263757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446239,0.0397487,0.0243291,0.0204055,0.0104582,0.0,0.0,0.0143784,0.0,0.0248032,0.0,0.0,0.0,0.0,0.0308986,0.0355251,0.0,0.0,0.0468071,0.0,0.0,0.200036,0.0,0.0,0.578195,0.0993979,0.0,0.0,0.0,CR
SLC2A5,2.4064,2.03798,2.27441,1.17258,1.84558,0.515169,1.10545,4.02158,2.49303,3.49708,1.31748,1.34435,2.65213,2.45995,3.70297,4.72825,2.57158,2.59946,11.2355,5.69958,1.51261,0.494618,38.5326,1.36307,1.28906,2.62053,2.31685,0.489458,2.72663,0.57364,2.27253,0.563984,0.577564,2.74363,0.929612,0.125334,0.948199,1.29023,11.9727,4.40482,2.16975,0.144735,1.88514,7.31538,1.34683,1.29525,20.7916,4.45601,0.297034,46.4355,0.54064,1.03913,3.86755,1.45346,CR
MTOR,14.1347,12.5037,12.8676,16.0791,14.597,17.6186,15.9141,6.46825,8.96895,10.1389,25.9808,27.0759,13.8408,12.4918,6.60486,8.73557,8.85594,8.29794,7.37974,7.3352,14.5158,18.2491,17.3607,14.1631,15.8568,19.0087,13.3463,18.0637,13.0503,18.9537,16.2413,7.98448,7.55295,7.64268,11.1177,7.47069,15.2756,12.8679,15.0498,19.7788,14.1306,5.90858,17.6921,16.5626,12.948,13.219,15.2865,15.0441,11.4312,35.5128,19.0889,20.0622,13.7552,3.03492,CR
DHRS3,169.114,187.69,20.4082,118.828,79.9014,84.732,95.6279,21.5906,17.0991,26.2825,5.07379,6.90915,19.5256,17.7437,17.5965,16.8918,22.9617,20.7901,21.8954,21.3718,140.445,28.8599,3.09208,127.935,139.239,72.3878,53.0112,115.798,116.007,128.172,94.2406,47.4946,27.4217,64.4987,32.942,158.947,86.5364,77.2388,39.7049,263.003,53.6936,52.3254,64.5669,227.397,78.9553,89.5779,58.6174,34.3119,80.7365,34.5198,192.783,55.742,140.618,9.85597,NotCR
UQCRHL,4.26109,5.1587,2.98658,4.87979,4.99659,5.38501,5.47968,4.26862,5.94796,4.80883,12.3986,9.68039,5.71408,7.96507,4.04752,5.15674,5.73213,3.73892,3.84235,4.57082,4.67605,11.672,17.9671,6.10001,6.4579,5.88723,5.82449,4.8192,6.39897,4.68046,5.18878,9.05769,10.1963,4.32342,7.02894,2.16552,4.71553,4.66458,7.17992,4.79534,7.80809,1.89615,4.82161,4.90226,4.86522,4.75558,4.976,4.60615,4.22456,4.04605,5.1195,5.42209,5.81714,1.82283,NotCR
SDHB,83.8592,81.7291,104.82,94.2728,90.7998,104.187,84.226,46.6468,58.2863,52.2215,96.7259,83.9014,64.6546,77.9711,44.0469,51.7652,56.6536,45.3735,61.4575,53.3442,81.7651,117.26,144.514,71.0604,72.8107,90.0647,104.154,90.0633,82.9173,93.258,83.6811,122.813,168.243,95.1223,104.519,124.93,81.1531,67.7655,177.639,94.163,61.0341,37.6777,60.6042,54.9552,65.7119,68.5217,88.202,74.8022,87.4159,91.0406,75.6008,84.7228,73.5014,52.7293,NotCR
ALDH4A1,30.9579,25.9171,20.4293,17.6147,22.6468,24.2557,20.9001,51.1524,56.3962,56.6534,13.9368,17.3035,61.3765,57.2807,29.5025,27.7762,45.1466,58.397,11.3665,51.1266,22.8336,12.121,10.6606,13.6566,15.7103,11.7154,8.05921,18.9936,49.5789,21.2099,17.6345,16.6624,16.4853,150.575,50.4136,268.216,12.2394,10.4698,41.3836,22.5197,14.2574,2.81042,17.758,39.029,23.5563,20.3373,6.69366,11.7016,14.7317,6.93626,15.2702,19.2952,30.8258,3.40818,CR
KIF17,4.84639,3.98997,11.8704,0.643805,1.5497,0.980339,1.76428,4.09203,7.61156,5.55871,0.35518,0.457809,13.3675,13.3278,3.54168,5.4139,7.8027,3.6483,0.766349,1.15788,3.65597,0.529206,0.0454029,2.84792,2.71596,1.21685,0.768863,1.49776,0.482502,1.70409,3.21197,1.52477,1.63536,1.85538,2.0368,0.540149,5.28098,0.677867,0.78779,1.94798,1.39738,0.214287,1.99546,1.87565,0.929908,1.13171,1.12228,22.339,0.695184,66.0532,4.36983,3.27254,1.78964,0.0568659,NotCR
HSPG2,148.051,107.2,46.3104,227.204,170.451,280.798,111.081,0.935155,0.818225,1.23182,0.473101,0.96135,1.43936,0.852668,1.15762,1.36391,1.04344,1.14944,2.32131,1.45915,92.7796,142.64,2.28466,70.1208,80.843,167.327,62.3454,141.945,30.4603,158.253,128.466,74.1145,36.9268,16.8597,20.2892,3.46128,57.67,42.7481,22.1556,194.691,30.1761,11.9628,12.3713,62.3054,32.4658,38.1048,36.3851,29.868,45.0984,12.0692,94.5367,156.822,61.8074,0.248982,NotCR
RCAN3,3.913,3.23991,0.825483,1.48749,2.5729,1.20721,3.05149,1.25874,1.1682,2.09494,56.5391,38.6436,1.05164,1.30717,1.65642,7.53317,2.02151,2.14115,7.61743,4.26313,6.04354,5.35623,0.478447,3.33335,3.34665,5.76278,5.40061,4.75996,14.2621,4.75817,3.75385,1.63283,1.37513,2.97479,5.46164,0.806273,7.23913,11.7141,0.478131,10.0068,0.927606,5.01672,12.6471,24.0325,12.8691,13.7493,7.94358,7.43347,7.44917,2.72565,13.5328,3.33476,9.57074,3.47624,NotCR
MAN1C1,8.58374,10.6949,7.67524,9.99482,9.91509,7.74805,10.4304,3.92191,7.2544,3.24292,22.5331,22.4608,10.7463,12.5773,5.01019,4.11732,4.43972,1.93995,8.56927,4.57357,6.04328,1.02684,0.22944,18.9473,17.5598,9.52653,4.44218,11.0207,2.45717,9.8781,13.2673,3.32201,2.85396,9.33087,8.57696,5.03297,9.47395,4.92278,1.10715,8.38232,16.2017,0.96598,18.1388,12.4656,4.57868,5.29871,4.76377,11.8998,3.5997,2.99389,19.5654,14.3915,9.52479,0.810437,NotCR
STX12,67.3339,58.7327,30.3538,53.2196,52.0546,55.2524,44.8361,35.8527,41.3911,35.0021,60.7935,48.7392,37.9976,51.6507,34.6439,44.8588,38.748,29.6005,64.1294,43.6461,56.8472,43.8578,28.5797,46.624,45.5743,40.2697,31.9323,37.9808,41.3664,39.0256,51.4953,15.6882,9.80586,21.3,26.2008,9.70821,84.2562,35.2748,12.4952,57.3033,34.4685,11.5083,43.093,38.8546,37.667,42.0408,30.1959,36.7129,57.8767,17.613,111.629,50.3344,40.4373,13.6569,NotCR
SESN2,15.966,17.6223,10.0136,13.6068,12.6208,11.1915,14.2953,5.25178,7.49379,5.55443,13.5538,14.2014,10.4979,10.5238,5.03523,7.62059,6.55579,4.54221,3.76744,5.05007,14.6074,27.7405,34.0292,13.996,16.5473,10.6604,14.0702,11.7481,23.2749,10.8949,19.4132,3.8281,2.66626,15.2283,14.5492,17.4699,19.5143,12.5219,4.84284,10.3829,51.782,6.57021,12.3461,12.6256,8.51124,9.59245,13.837,11.9411,10.4814,26.3216,10.4117,19.9268,14.9224,16.2225,NotCR
MECR,13.6958,11.7373,10.5749,10.1939,10.8093,9.75961,10.9232,9.46703,11.9764,9.83193,10.4605,10.6967,13.7632,14.8099,9.95055,9.89325,13.0464,8.51712,10.0879,9.31643,13.5064,16.2502,13.1533,14.8204,15.163,9.93011,7.69681,9.30599,8.81154,9.55542,12.841,8.07473,8.01092,6.96432,8.46614,5.88431,8.4004,10.4134,13.4408,15.8761,14.4057,3.89501,9.12855,10.3842,12.8905,14.3232,6.43606,6.88384,7.29204,14.3868,11.8771,15.7783,11.1726,1.26535,NotCR
FABP3,28.386,11.3763,50.2501,62.5212,94.1548,136.153,13.6811,51.5238,96.1112,32.5808,29.1993,26.5602,98.244,134.571,67.0407,50.188,38.2945,26.4747,39.0827,76.1366,11.7758,6.07995,11.8603,73.3898,42.7487,17.2241,9.02661,34.8059,2.51008,33.501,39.3268,1815.95,2578.97,88.2221,107.913,1.88647,20.2458,7.12378,847.057,10.4847,23.5373,0.862115,8.95835,44.5207,6.06681,10.5237,5.15412,25.6011,40.3306,23.8406,8.03265,72.6267,27.2037,0.992374,NotCR
HDAC1,52.3284,54.5053,69.2122,73.1414,71.2055,76.117,93.5755,18.5035,15.4061,18.9939,6.93971,9.32128,17.0349,14.1403,17.9271,25.1704,18.1488,16.6046,31.9076,19.636,68.4532,103.018,226.127,121.458,122.348,87.584,117.502,77.2779,123.008,74.2553,103.923,25.2703,20.0815,42.6059,67.9349,31.2741,88.0485,83.2424,11.4569,76.347,129.75,29.4865,97.8411,108.452,62.4569,61.5915,124.06,125.829,77.5535,85.2807,134.579,118.215,120.161,51.316,CR
RBBP4,34.8151,29.1067,35.5454,39.6858,36.9613,38.5251,41.0624,19.0408,21.926,22.0955,53.2846,44.9105,23.3421,27.8639,18.2901,24.3737,23.0404,17.1659,29.0468,20.5032,37.0047,47.3023,85.7235,51.5193,70.9458,38.0194,32.4632,41.0112,30.0194,39.4416,53.7428,16.8013,12.6174,15.7844,23.078,12.5542,40.2273,37.2683,19.1962,48.4579,63.1418,17.4159,45.2404,40.4246,34.691,36.6206,37.3315,40.1971,30.1217,77.3883,45.8007,59.1829,41.1991,11.7086,NotCR
AK2,45.9983,44.0513,37.576,36.7216,41.3194,36.3073,41.2197,13.1179,11.5303,13.7937,35.1854,35.1588,12.6702,13.3003,13.1387,16.6064,12.8917,12.834,30.4982,18.8189,50.8832,72.7295,137.468,49.4539,52.2971,37.5349,43.2233,34.6208,48.2599,33.7864,51.1445,23.6238,18.0554,47.3275,55.7275,37.7737,44.7906,39.5911,30.225,56.6179,46.8256,15.5624,34.6375,42.6987,42.0079,42.2423,48.081,39.3838,33.5949,36.6694,70.7348,51.7796,48.3495,18.5503,NotCR
AGO4,18.5368,13.6725,7.90186,19.9407,18.2223,19.2336,18.6229,5.59185,6.04401,7.10722,22.4877,20.2725,7.96827,7.6453,6.08051,6.86851,7.41807,5.65352,7.45936,6.39593,16.2523,10.0183,6.16458,22.6944,21.1856,19.7992,12.0502,20.0423,12.1051,21.719,18.9664,9.31636,6.43576,5.21021,6.5697,5.68536,26.7316,15.4288,10.5803,18.9676,17.2477,6.41785,12.9049,18.3783,25.5302,27.156,14.5102,27.6249,14.2962,15.4335,14.0737,24.8716,19.8802,18.9501,NotCR
AGO1,8.65828,6.95683,9.86149,11.7156,10.1284,11.9258,10.4134,6.13971,6.36588,7.0762,18.135,17.2883,7.96026,8.20932,6.19594,6.75472,7.4687,6.01155,7.50045,6.11107,8.08951,8.94253,11.8197,13.1742,13.6856,9.87148,7.3956,8.95333,6.78346,8.6915,11.0826,4.81819,3.06137,3.45768,4.2777,2.52826,10.5223,7.68697,3.63676,12.1592,12.0362,3.4881,11.3221,11.9603,10.5834,11.2132,9.8576,11.2106,6.32804,9.44544,10.0215,13.3524,10.0705,6.06747,NotCR
AGO3,5.0604,4.28099,3.14241,4.81838,4.78236,5.41547,5.01745,1.74226,1.84183,2.39071,7.68678,7.03913,2.12582,2.388,2.08114,2.72259,2.5532,1.88329,4.43172,2.40595,4.49519,4.09582,4.00903,6.72868,6.72705,5.13321,3.302,5.38236,2.50071,5.25134,5.44902,2.16263,1.17959,1.62082,2.69556,1.76376,5.23393,3.42594,1.737,8.11113,6.8206,1.44895,10.8811,5.26174,3.89735,4.0457,3.86478,4.1129,2.66093,5.56804,6.10597,6.54436,4.86843,1.06778,NotCR
RRAGC,59.9522,48.0505,22.9795,37.0331,39.0871,51.7717,33.5864,12.2971,14.568,14.65,22.2448,22.0886,17.6433,18.5099,11.8205,17.3744,16.2345,12.1752,23.6633,15.3645,42.6196,52.7152,34.5303,37.5986,38.2378,38.9767,27.0452,34.0944,36.0186,35.0474,30.547,13.4321,11.3245,15.8728,15.8061,8.95999,37.4201,22.0763,13.212,40.3459,35.6063,7.78566,19.5539,24.2419,46.7826,50.3557,24.2568,25.6313,17.8764,35.831,25.8644,37.7075,36.3434,14.2465,NotCR
PABPC4,108.166,107.256,86.6509,84.1662,101.281,108.96,133.936,23.2457,26.0874,22.0502,46.1311,44.6752,27.8354,28.6368,22.596,22.7162,23.7381,18.0681,34.7274,22.509,92.0727,241.774,215.853,110.808,115.697,103.617,71.5211,81.8578,70.638,85.2981,108.376,88.7158,63.3169,31.9259,54.6625,36.2891,103.082,76.4662,269.198,92.3562,177.55,196.403,52.299,82.8396,69.949,72.7176,76.2822,84.6933,114.584,154.818,86.576,119.006,95.8665,26.4679,NotCR
TRIT1,17.1926,15.0524,12.7788,16.2963,19.3685,19.0584,27.4085,7.24372,8.25204,9.48767,31.7449,27.5514,10.2911,10.8862,9.07268,11.2778,11.2427,7.7896,10.1608,7.59853,20.9616,23.3187,36.5468,30.8004,35.654,24.4525,17.5545,22.6577,25.4439,23.9634,30.2103,12.9749,9.83285,11.327,19.8966,8.3285,19.1802,21.9947,7.28721,30.4066,30.9198,13.9064,31.2297,38.0973,34.5562,37.584,18.4112,20.88,15.5722,28.3535,38.4948,39.8293,33.5345,2.96542,NotCR
ZMPSTE24,31.2422,30.581,32.2845,70.7994,43.627,41.2399,36.0379,14.1629,15.7986,17.2404,17.3692,13.5204,13.2116,19.8106,13.6712,17.2251,16.7428,13.7194,22.8709,16.5704,30.6216,63.1741,27.3148,36.2765,35.1928,36.4923,30.1098,38.9085,29.7711,37.8644,49.5313,16.1214,12.2486,20.5483,22.3812,16.5002,29.8708,27.5779,12.2346,35.3647,31.011,10.3163,19.0188,29.5691,24.7464,25.3054,26.1591,18.0123,23.8503,15.4813,31.3776,58.4833,33.6021,11.6056,NotCR
SLC2A1,18.176,14.5429,9.35417,60.0868,28.4663,49.6459,35.5661,42.0702,41.1261,59.069,39.6197,49.8632,58.7144,49.6235,53.2401,53.6652,43.7314,56.8335,81.5973,65.5584,25.9861,70.79,61.7192,80.6742,65.93,11.784,15.9061,21.9816,154.83,18.8793,49.1022,9.76669,12.3465,19.1506,39.5487,1.57971,11.6015,27.7745,2.1075,703.839,18.2505,2.57101,22.3946,25.3949,272.584,265.838,15.1716,21.5414,11.9797,10.0749,16.5243,21.7971,176.081,28.5092,CR
RPS8,997.031,952.192,760.533,837.279,901.306,884.556,1018.12,240.64,199.036,214.38,407.11,332.898,181.233,212.109,204.316,243.303,266.647,189.049,408.539,273.855,1153.31,1305.11,1848.68,1867.23,1574.8,829.946,676.41,782.287,1032.94,714.495,1284.08,299.653,190.735,316.296,531.474,234.16,745.45,686.727,385.032,1003.31,3172.86,530.767,652.676,991.641,1414.67,1235.43,740.508,889.719,546.356,251.368,754.14,1453.32,1315.33,243.12,NotCR
PRDX1,278.577,258.643,313.82,433.879,376.086,348.22,345.603,231.287,218.144,212.303,227.635,197.657,216.76,238.704,171.968,306.546,204.833,175.013,472.81,365.133,278.586,487.463,598.532,332.737,319.982,274.266,239.164,316.344,790.598,322.278,300.034,282.576,134.224,269.254,344.801,202.92,373.075,262.927,247.481,335.171,264.559,46.9082,211.501,240.677,267.487,291.735,267.146,248.422,262.362,160.124,635.852,317.027,395.791,52.9793,CR
AKR1A1,50.2643,46.7558,45.5856,62.6519,54.7001,46.0615,49.4223,15.9838,17.4213,19.338,36.7934,33.1247,20.7543,23.8577,15.5629,21.8111,21.4975,16.827,33.98,20.3156,52.801,55.7295,102.493,66.2962,70.9424,41.2816,53.3482,38.0198,90.6561,35.2205,71.1248,25.1299,11.7687,75.4042,58.2984,78.5517,66.0285,74.01,12.7074,52.938,61.335,44.38,84.5726,64.6471,49.2396,47.6264,79.7867,70.8879,57.5094,20.9528,78.506,62.7431,60.4028,17.3417,NotCR
UQCRH,197.589,249.054,137.351,215.406,215.138,221.846,237.968,202.44,298.183,213.01,476.181,364.014,285.037,420.546,185.09,253.819,264.795,178.269,170.896,214.577,206.171,476.561,692.671,249.613,241.723,269.126,272.347,231.09,303.272,228.889,197.353,443.479,517.89,205.296,352.196,77.1672,181.3,203.367,273.305,153.443,260.519,73.1522,215.263,218.773,203.385,188.208,206.369,169.673,203.173,110.261,189.029,204.606,258.563,55.9806,NotCR
CYP4X1,21.739,11.2953,1.49434,54.4343,36.9125,35.2201,5.3941,4.47269,8.70514,6.76673,14.7312,11.9956,10.1993,16.0286,4.38895,12.5169,8.96517,4.62376,1.78056,2.8005,15.9011,0.0585558,0.0378951,8.84639,9.37809,2.19765,1.54819,5.02486,19.2127,4.12043,11.6734,6.16246,1.90343,2.59726,2.72786,1.77857,13.4336,45.233,3.35698,36.3053,1.3181,1.01358,4.76068,14.1191,8.2453,12.0484,1.99101,0.496778,21.0592,6.82673,10.731,4.80192,13.3705,0.0283499,CR
PRPF38A,20.5036,18.4639,11.3025,22.7807,20.4854,22.2998,20.7039,12.0714,12.7163,12.2175,33.132,28.6174,12.9632,13.4947,10.9244,12.7049,12.1438,10.2241,17.1827,12.5518,22.2293,22.203,37.2317,34.7386,35.5633,20.3957,19.222,19.7873,18.8099,18.6915,30.5976,7.89104,4.97907,10.0583,14.8313,6.07543,21.4406,16.1865,6.07169,30.1733,40.9244,6.65943,21.5391,23.2062,19.3657,19.3705,20.9598,21.6092,12.2535,28.6006,30.3065,35.574,25.8166,8.77335,NotCR
GPX7,9.72555,9.3313,8.43357,14.3269,13.5734,11.4212,11.8273,2.5588,2.65544,2.9254,3.79115,4.05156,2.68747,2.72337,2.28141,3.47687,3.25437,2.50301,4.16972,3.04567,10.4946,28.9251,5.97986,19.5877,20.1043,12.122,6.31814,9.7822,3.1537,9.37556,13.1321,6.07616,3.30378,4.60435,6.62042,1.41878,9.15229,6.60611,3.58111,12.1472,13.4702,5.4784,18.1929,12.0682,4.98281,5.57973,8.26493,10.4291,3.83501,9.57657,21.296,15.6797,9.81757,3.94478,NotCR
MAGOH,30.4712,29.7512,23.7156,31.6095,30.0852,33.5737,28.1399,11.0931,13.2796,13.9935,22.7913,18.9602,13.0972,17.214,10.9544,15.0836,13.1451,12.0034,14.9192,11.7433,32.4499,49.1681,65.4036,34.7635,39.3249,28.2175,24.7803,27.1003,27.34,26.3961,37.953,12.7229,10.1064,17.8763,29.7854,15.128,30.968,23.0755,12.9983,31.1955,39.7741,10.05,29.9628,25.6484,25.5442,26.9318,27.0704,32.5419,19.4346,30.2169,43.1457,43.4074,30.7996,8.63477,NotCR
PRKAA2,2.55594,1.33095,0.933041,6.25992,7.64068,7.6245,4.07582,1.83831,3.10136,1.82845,8.65248,8.13289,3.40498,4.403,1.62467,2.4304,2.20935,1.43331,1.73235,1.41979,2.0433,1.64798,0.0216459,3.2283,4.02114,10.1083,3.58327,11.1677,2.71122,12.8997,6.79504,14.1651,15.3276,5.57459,10.1032,0.366925,2.81582,4.85572,26.0901,6.1774,2.8698,1.28631,3.00659,4.89125,0.759445,1.22929,0.821295,1.64777,2.43499,1.97538,5.01314,4.62764,2.73859,0.0128825,CR
HOOK1,0.136817,1.14773,6.02897,0.311026,0.183101,0.215595,0.454181,2.07572,3.7519,3.62239,19.8604,16.5528,4.55488,6.21271,2.20083,2.70278,4.8956,2.47839,0.358794,0.687977,3.78212,0.0406156,8.35087,2.59212,2.50248,0.288774,7.77202,0.230837,19.7597,0.153086,1.13213,2.08014,0.733141,7.71524,11.1215,11.6656,3.64664,15.6805,0.124165,0.479674,0.707432,11.6546,16.8663,6.50546,18.4162,17.104,9.23129,1.66459,9.58593,56.4719,13.8013,0.365769,10.1877,0.167949,NotCR
JAK1,124.013,98.9487,40.24,74.5118,76.1767,97.3923,82.8305,18.8232,21.8445,23.3261,65.6888,56.0774,26.861,31.8131,18.6814,25.6254,21.1828,18.8581,28.3846,21.1533,97.301,139.896,51.3637,95.4,107.289,66.4033,52.6943,66.7561,41.1886,64.6895,82.9959,33.3215,27.2214,27.0462,42.833,19.3786,110.053,46.0528,54.1884,68.7899,101.36,24.3898,60.2218,47.659,69.9375,83.9865,70.9987,95.0771,38.7861,48.7185,75.5172,90.814,71.7025,62.1352,NotCR
GNG12,93.0276,69.9048,53.6046,148.856,102.671,152.551,67.7691,14.1143,10.9106,11.788,3.49352,4.65048,7.78809,8.23517,9.03639,14.7792,11.0766,7.88643,13.3129,8.79904,69.5793,175.624,0.26703,106.811,92.4601,41.5247,48.5575,75.6341,80.6222,71.5312,95.9426,19.384,10.4907,43.1813,42.9169,13.6678,58.8884,41.2226,9.64882,73.2292,62.0101,13.0012,25.1617,44.5742,94.172,101.472,65.0833,38.1752,33.6268,16.7092,66.8806,96.0932,94.1334,0.154339,NotCR
SRSF11,114.281,82.274,58.5109,106.634,102.41,111.424,107.75,20.8144,23.6776,26.679,132.318,138.791,35.6463,34.6461,24.7377,29.7026,26.7366,21.8953,42.0086,26.5608,111.342,95.1572,106.121,142.874,166.302,102.573,72.7717,102.44,60.7484,92.9995,138.498,31.5199,18.638,31.8485,51.9041,40.333,103.647,83.4618,34.8599,167.407,156.411,42.4638,107.545,106.59,100.155,95.866,99.8588,102.306,68.4702,95.7304,143.777,154.917,112.098,12.8205,NotCR
CTH,3.64912,4.23224,2.90529,4.36567,4.00021,5.54299,3.4323,2.77294,3.80894,2.54442,4.31563,4.69084,3.53463,4.33158,2.34238,4.04419,3.04706,2.17074,2.46915,2.87275,3.63299,7.04714,19.8808,3.60013,4.34216,2.28089,3.49038,2.90965,2.49495,2.41196,7.19304,1.36769,0.746704,3.96694,4.02023,44.9426,4.36673,2.97771,1.58061,8.56327,21.454,4.60587,4.12684,4.69948,1.41068,1.61161,2.61952,1.48948,6.04901,8.64447,10.5605,4.76448,2.87762,0.313403,NotCR
PRKACB,10.3436,9.05592,8.31789,21.3941,21.2846,30.3071,24.3205,44.1379,55.3202,47.8741,130.398,84.4796,57.0589,103.222,45.245,69.8172,73.6461,36.9012,74.925,44.6866,9.6795,12.8387,7.54257,18.1921,16.0858,22.1689,21.3714,18.2902,5.42951,20.1856,16.1289,7.56193,4.42618,5.9752,8.4122,3.64359,8.68773,16.0118,2.37567,9.54362,10.7782,3.59052,29.7084,14.8947,3.35498,3.7512,14.6409,16.7433,17.6055,5.10686,11.9905,17.6506,10.0737,3.79239,NotCR
GCLM,10.1002,9.76861,18.0619,7.91363,7.05226,5.24918,8.67328,3.81959,5.58978,4.67487,6.93021,5.79446,4.85365,7.20923,3.59422,6.65313,5.15369,3.62768,7.07217,5.44193,9.03444,23.4375,7.32985,4.18675,4.58806,3.21843,5.22614,3.80114,8.04515,3.86082,4.98443,2.82538,2.36718,6.24093,6.43861,8.01758,10.8348,6.35389,10.6186,11.6176,4.78794,2.60512,6.23611,5.9944,3.69791,3.37744,7.37617,7.35449,4.96065,4.13917,16.2574,4.94893,6.67477,4.37458,NotCR
GNAI3,8.58385,7.66776,4.43926,7.24102,7.65241,8.57473,6.29832,2.11586,2.18818,2.34859,4.86136,3.91783,2.24988,2.57277,1.95041,2.54985,2.3144,1.90645,3.65112,2.37128,7.07723,15.2178,11.9094,9.35429,7.40819,6.23035,5.48339,5.87041,12.2259,5.86056,7.25025,2.14488,1.27485,2.94328,4.24125,2.5796,6.89539,5.33606,1.2975,7.83496,6.40801,2.22546,4.32444,5.39981,10.9023,11.8087,5.03786,6.19492,3.64311,5.14402,5.5471,8.24574,9.69856,7.56701,CR
AHCYL1,76.5557,76.1862,73.1238,70.4079,66.7602,73.7797,82.4037,127.549,146.691,157.965,135.308,158.143,166.536,164.261,78.4985,140.012,173.081,116.832,140.679,167.918,71.6627,97.0127,67.5732,87.3854,95.2034,82.2198,58.5459,83.8605,54.0953,82.9698,92.5412,26.7774,18.7678,55.9224,53.2823,22.1825,74.2876,50.8086,58.2292,71.2685,94.4203,29.1341,86.4801,60.6685,53.931,54.8046,63.3626,42.0711,55.6219,41.9034,92.5188,91.9812,67.6598,14.6068,NotCR
KCNA3,0.338681,0.616639,0.0916929,0.254704,0.373349,0.0848184,0.356462,0.276751,0.479864,0.442624,1.18466,1.33935,0.757674,0.795652,0.24171,1.19604,1.10434,0.239565,0.360746,0.205155,0.293878,0.0595076,7.97308,0.408466,0.596945,0.193488,0.738855,0.164736,0.225423,0.162866,0.707488,0.208374,0.0466694,0.132227,0.146173,0.174463,4.23755,1.25058,0.0215739,0.208909,0.485595,0.0988246,0.821503,0.299761,0.165036,0.114829,2.16531,4.21047,0.402569,0.934673,0.850622,0.358664,0.464177,2.26231,CR
AP4B1,9.64986,7.88598,6.89142,9.51592,9.8294,7.93724,9.20243,5.01933,6.3328,7.17844,29.8652,27.0431,8.59624,8.63453,5.60722,7.26135,8.32659,6.02684,7.34159,5.98947,9.73816,11.3224,19.7741,13.5883,16.3412,9.45415,10.6596,8.23298,10.1516,7.29068,16.0955,5.04849,3.5518,5.06583,9.57519,3.57611,11.1515,6.79517,3.55198,15.2194,16.7787,5.91346,18.6979,10.826,7.94295,7.42882,12.9258,21.3442,8.06372,15.4938,15.0848,15.5472,11.1534,7.19882,NotCR
NRAS,21.5666,20.7344,11.295,13.345,15.8319,10.7283,13.4805,8.6716,9.98713,7.77318,13.5773,11.669,8.12887,11.393,8.11296,12.2147,8.4294,7.11878,22.2928,11.3757,18.9586,52.476,77.2891,13.4587,15.5408,11.2986,17.5993,11.0411,24.4149,11.0572,15.4819,4.97932,3.84084,11.7231,15.2233,8.71724,23.1224,15.036,4.92453,17.285,14.1794,6.70713,8.95945,12.861,25.1205,23.4341,20.3899,19.6526,11.8455,12.2059,18.531,15.0985,18.4207,5.95744,NotCR
